"cell_line","method_1","method_2","spearman"
"THP1","DESeq2","MAGeCK-RRA",0.830554432450564
"THP1","DESeq2","BARCS",0.998103509217752
"THP1","DESeq2","limma-voom",0.999210662497532
"THP1","DESeq2","edgeR-QL",0.9999988935368
"THP1","MAGeCK-MLE","MAGeCK-RRA",0.879982192940532
"THP1","MAGeCK-MLE","BARCS",0.872828482043959
"THP1","MAGeCK-MLE","limma-voom",0.872985384419557
"THP1","MAGeCK-MLE","edgeR-QL",0.872856633035403
"THP1","MAGeCK-RRA","BARCS",0.830382026713051
"THP1","MAGeCK-RRA","limma-voom",0.830543068209341
"THP1","MAGeCK-RRA","edgeR-QL",0.830565358445796
"THP1","BARCS","limma-voom",0.999706444852221
"THP1","BARCS","edgeR-QL",0.998153198008754
"THP1","limma-voom","edgeR-QL",0.999245947052745
