"samples","mean_count","rho","moderation","guide_type_i","guide_any_bh_call","gene_type_i","gene_any_bh_call","rho_zero_fraction","convergence_fraction","guide_type_i_sd","guide_any_bh_call_sd","gene_type_i_sd","gene_any_bh_call_sd","rho_zero_fraction_sd","convergence_fraction_sd"
6,10,5e-07,FALSE,0.0068,0,0.008,0,0.3928,1,0.00303315017762062,0,0.0109544511501033,0,0.0242322099693775,0
6,10,5e-07,TRUE,0.042,0,0.046,0,0.3928,1,0.014142135623731,0,0.0304959013639538,0,0.0242322099693775,0
6,100,0,FALSE,0.002,0,0.01,0,0.5984,1,0.00244948974278318,0,0.00707106781186548,0,0.0213260404201061,0
6,100,0,TRUE,0.0532,0,0.06,0,0.5984,1,0.00414728827066554,0,0.0223606797749979,0,0.0213260404201061,0
6,100,5e-06,FALSE,0.04,0,0.042,0,0.0412,1,0.00748331477354788,0,0.00836660026534076,0,0.00641872261435249,0
6,100,5e-06,TRUE,0.0464,0,0.046,0,0.0412,1,0.0121161049846888,0,0.0240831891575846,0,0.00641872261435249,0
6,100,5e-07,FALSE,0.0132,0,0.022,0,0.386,1,0.00389871773792358,0,0.0130384048104053,0,0.0125698050899765,0
6,100,5e-07,TRUE,0.052,0,0.058,0,0.386,1,0.00447213595499958,0,0.0192353840616713,0,0.0125698050899765,0
6,1000,0,FALSE,0.0048,0,0.012,0,0.586,1,0.00460434577328853,0,0.00836660026534075,0,0.0273495886623547,0
6,1000,0,TRUE,0.05,0.2,0.058,0,0.586,1,0.00883176086632785,0.447213595499958,0.0178885438199983,0,0.0273495886623547,0
6,1000,5e-06,FALSE,0.0444,0,0.062,0,0.0428,1,0.00909945053286186,0,0.0228035085019828,0,0.0130843417870369,0
6,1000,5e-06,TRUE,0.0536,0,0.06,0.2,0.0428,1,0.0145876660230484,0,0.02,0.447213595499958,0.0130843417870369,0
6,1000,5e-07,FALSE,0.0124,0,0.026,0,0.374,1,0.00554977477020464,0,0.0114017542509914,0,0.0222261107708929,0
6,1000,5e-07,TRUE,0.0548,0,0.04,0,0.374,1,0.010733126291999,0,0.02,0,0.0222261107708929,0
8,10,0,FALSE,0.0068,0,0.01,0,0.5804,1,0.00363318042491699,0,0.01,0,0.0365349148076193,0
8,10,0,TRUE,0.0388,0,0.042,0.2,0.5804,1,0.00641872261435248,0,0.0192353840616713,0.447213595499958,0.0365349148076193,0
8,10,5e-06,FALSE,0.0364,0,0.06,0,0.0184,1,0.0118659175793531,0,0.0158113883008419,0,0.0074027022093287,0
8,10,5e-06,TRUE,0.0348,0,0.05,0,0.0184,1,0.0108258948821795,0,0.0234520787991172,0,0.0074027022093287,0
8,10,5e-07,FALSE,0.0208,0,0.034,0,0.3172,1,0.00389871773792358,0,0.0167332005306815,0,0.025083859352181,0
8,10,5e-07,TRUE,0.0436,0,0.048,0,0.3172,1,0.00829457654133109,0,0.0238746727726266,0,0.025083859352181,0
8,100,0,FALSE,0.0124,0,0.02,0,0.5768,1,0.0066932802122726,0,0.0158113883008419,0,0.0133865604245452,0
8,100,0,TRUE,0.0488,0.2,0.058,0.2,0.5768,1,0.00831865373723417,0.447213595499958,0.0192353840616713,0.447213595499958,0.0133865604245452,0
8,100,5e-06,FALSE,0.0524,0,0.05,0.2,0.012,1,0.0074027022093287,0,0.02,0.447213595499958,0.00447213595499958,0
8,100,5e-06,TRUE,0.0512,0,0.052,0.2,0.012,1,0.00807465169527454,0,0.033466401061363,0.447213595499958,0.00447213595499958,0
8,100,5e-07,FALSE,0.0248,0,0.042,0,0.312,1,0.00414728827066554,0,0.0148323969741913,0,0.00836660026534076,0
8,100,5e-07,TRUE,0.0476,0.2,0.054,0.2,0.312,1,0.00684105255059483,0.447213595499958,0.0134164078649987,0.447213595499958,0.00836660026534076,0
8,1000,0,FALSE,0.0172,0,0.018,0,0.5652,1,0.00641872261435248,0,0.00447213595499958,0,0.0316417445789577,0
8,1000,0,TRUE,0.0644,0.2,0.058,0.2,0.5652,1,0.01161034021896,0.447213595499958,0.0192353840616713,0.447213595499958,0.0316417445789577,0
8,1000,5e-06,FALSE,0.0504,0,0.062,0,0.0132,1,0.00993981891183134,0,0.0192353840616713,0,0.00414728827066554,0
8,1000,5e-06,TRUE,0.0492,0,0.058,0,0.0132,1,0.00521536192416212,0,0.0248997991959775,0,0.00414728827066554,0
8,1000,5e-07,FALSE,0.0268,0,0.026,0,0.3212,1,0.00576194411635517,0,0.00894427190999916,0,0.0131605471010897,0
8,1000,5e-07,TRUE,0.0532,0.2,0.044,0,0.3212,1,0.00657267069006199,0.447213595499958,0.0219089023002066,0,0.0131605471010897,0
