"method","nominal_fdr","metric","runs","mean","sd","se"
"BARCS-moderated [non-targeting]",0.01,"realized_fdp",3,0.00160596169954652,0.00140017795132627,0.000808393117111602
"BARCS-moderated [non-targeting]",0.01,"held_out_control_call_rate",3,0.00444444444444444,0.00384900179459751,0.00222222222222222
"BARCS-moderated [non-targeting]",0.01,"safe_harbor_call_rate",3,0.00333333333333333,0.00288675134594813,0.00166666666666667
"BARCS-moderated [non-targeting]",0.01,"f1",3,0.821573086096264,0.0903271257908205,0.0521503903904554
"BARCS-moderated [safe-harbor]",0.01,"calls",3,377,57.662812973354,33.291640592397
"BARCS-moderated [safe-harbor]",0.01,"realized_fdp",3,0.00165883385415385,0.00145043642662369,0.000837409861353624
"BARCS-moderated [safe-harbor]",0.01,"held_out_control_call_rate",3,0.00444444444444444,0.00384900179459751,0.00222222222222222
"BARCS-moderated [safe-harbor]",0.01,"safe_harbor_call_rate",3,0,0,0
"BARCS-moderated [safe-harbor]",0.01,"f1",3,0.813288129494384,0.0830517431747121,0.0479499462785877
"BARCS-original [library]",0.01,"calls",3,38.6666666666667,44.2982317179065,25.5755960069577
"BARCS-original [library]",0.01,"realized_fdp",3,0,0,0
"BARCS-original [library]",0.01,"held_out_control_call_rate",3,0,0,0
"BARCS-original [library]",0.01,"safe_harbor_call_rate",3,0,0,0
"BARCS-original [library]",0.01,"f1",3,0.125657238309847,0.138145409473285,0.079758289346712
"BARCS-original [non-targeting]",0.01,"calls",3,249.666666666667,179.266096441389,103.499329037009
"BARCS-original [non-targeting]",0.01,"realized_fdp",3,0,0,0
"BARCS-original [non-targeting]",0.01,"held_out_control_call_rate",3,0,0,0
"BARCS-original [non-targeting]",0.01,"safe_harbor_call_rate",3,0,0,0
"BARCS-original [non-targeting]",0.01,"f1",3,0.57633768385319,0.364923283276886,0.210688555833472
"BARCS-original [safe-harbor]",0.01,"calls",3,246,173.242604459758,100.021664319953
"BARCS-original [safe-harbor]",0.01,"realized_fdp",3,0.000848176420695505,0.00146908465442653,0.000848176420695505
"BARCS-original [safe-harbor]",0.01,"held_out_control_call_rate",3,0.00222222222222222,0.00384900179459751,0.00222222222222222
"BARCS-original [safe-harbor]",0.01,"safe_harbor_call_rate",3,0,0,0
"BARCS-original [safe-harbor]",0.01,"f1",3,0.573064867364482,0.348979535012889,0.201483428481362
"MAGeCK-MLE [non-targeting]",0.01,"calls",3,1.66666666666667,0.577350269189626,0.333333333333333
"MAGeCK-MLE [non-targeting]",0.01,"realized_fdp",3,0,0,0
"MAGeCK-MLE [non-targeting]",0.01,"held_out_control_call_rate",3,0,0,0
"MAGeCK-MLE [non-targeting]",0.01,"safe_harbor_call_rate",3,0,0,0
"MAGeCK-MLE [non-targeting]",0.01,"f1",3,0.00606440063073744,0.00200268044760383,0.00115624809552487
"BARCS-moderated [library]",0.05,"calls",3,152,137.50272724568,79.3872365896013
"BARCS-moderated [library]",0.05,"realized_fdp",3,0,0,0
"BARCS-moderated [library]",0.05,"held_out_control_call_rate",3,0,0,0
"BARCS-moderated [library]",0.05,"safe_harbor_call_rate",3,0,0,0
"BARCS-moderated [library]",0.05,"f1",3,0.392992277748908,0.344753938351737,0.199043779111559
"BARCS-moderated [non-targeting]",0.05,"calls",3,446.666666666667,28.7112057101985,16.5764223455418
"BARCS-moderated [non-targeting]",0.05,"realized_fdp",3,0.00644892767286774,0.00637091503108865,0.00367824950818326
"BARCS-moderated [non-targeting]",0.05,"held_out_control_call_rate",3,0.02,0.02,0.0115470053837925
"BARCS-moderated [non-targeting]",0.05,"safe_harbor_call_rate",3,0.0316666666666667,0.0208166599946613,0.0120185042515466
"BARCS-moderated [non-targeting]",0.05,"f1",3,0.894063513925577,0.0360606401418895,0.0208196202930701
"BARCS-moderated [safe-harbor]",0.05,"calls",3,437,21.9317121994613,12.6622799421484
"BARCS-moderated [safe-harbor]",0.05,"realized_fdp",3,0.00374758540393215,0.00472093147600161,0.00272563105849531
"BARCS-moderated [safe-harbor]",0.05,"held_out_control_call_rate",3,0.0111111111111111,0.0138777733297742,0.00801233616769776
"BARCS-moderated [safe-harbor]",0.05,"safe_harbor_call_rate",3,0.01,0.01,0.00577350269189626
"BARCS-moderated [safe-harbor]",0.05,"f1",3,0.886104672368849,0.0339245144973724,0.0195863275771853
"BARCS-original [library]",0.05,"calls",3,146,122.282459903291,70.5998111423347
"BARCS-original [library]",0.05,"realized_fdp",3,0,0,0
"BARCS-original [library]",0.05,"held_out_control_call_rate",3,0,0,0
"BARCS-original [library]",0.05,"safe_harbor_call_rate",3,0,0,0
"BARCS-original [library]",0.05,"f1",3,0.387205028653362,0.319917982600437,0.184704733372965
"BARCS-original [non-targeting]",0.05,"calls",3,359.333333333333,109.928764813098,63.467401956525
"BARCS-original [non-targeting]",0.05,"realized_fdp",3,0.00551449419005277,0.00482341155858428,0.00278479796176099
"BARCS-original [non-targeting]",0.05,"held_out_control_call_rate",3,0.0155555555555556,0.0138777733297742,0.00801233616769776
"BARCS-original [non-targeting]",0.05,"safe_harbor_call_rate",3,0.025,0.0173205080756888,0.01
"BARCS-original [non-targeting]",0.05,"f1",3,0.777408867773451,0.160859189099047,0.0928720961279596
"BARCS-original [safe-harbor]",0.05,"calls",3,360,92.9892466901415,53.6873666082937
"BARCS-original [safe-harbor]",0.05,"realized_fdp",3,0.00328836950338786,0.00288445008024625,0.00166533803029421
"BARCS-original [safe-harbor]",0.05,"held_out_control_call_rate",3,0.00888888888888889,0.00769800358919501,0.00444444444444445
"BARCS-original [safe-harbor]",0.05,"safe_harbor_call_rate",3,0.01,0.005,0.00288675134594813
"BARCS-original [safe-harbor]",0.05,"f1",3,0.784211897055812,0.134760826933874,0.0778041997064889
"MAGeCK-MLE [non-targeting]",0.05,"calls",3,1.66666666666667,0.577350269189626,0.333333333333333
"MAGeCK-MLE [non-targeting]",0.05,"realized_fdp",3,0,0,0
"MAGeCK-MLE [non-targeting]",0.05,"held_out_control_call_rate",3,0,0,0
"MAGeCK-MLE [non-targeting]",0.05,"safe_harbor_call_rate",3,0,0,0
"MAGeCK-MLE [non-targeting]",0.05,"f1",3,0.00606440063073744,0.00200268044760383,0.00115624809552487
"BARCS-moderated [library]",0.1,"calls",3,203,175.616058491244,101.391978643941
"BARCS-moderated [library]",0.1,"realized_fdp",3,0,0,0
"BARCS-moderated [library]",0.1,"held_out_control_call_rate",3,0,0,0
"BARCS-moderated [library]",0.1,"safe_harbor_call_rate",3,0,0,0
"BARCS-moderated [library]",0.1,"f1",3,0.481447474124417,0.409299844161546,0.23630937520594
"BARCS-moderated [non-targeting]",0.1,"calls",3,473.333333333333,18.1750745069541,10.4933841591315
"BARCS-moderated [non-targeting]",0.1,"realized_fdp",3,0.0123720866559431,0.0122958053720262,0.00709898654144257
"BARCS-moderated [non-targeting]",0.1,"held_out_control_call_rate",3,0.04,0.04,0.023094010767585
"BARCS-moderated [non-targeting]",0.1,"safe_harbor_call_rate",3,0.08,0.0377491721763538,0.0217944947177034
"BARCS-moderated [non-targeting]",0.1,"f1",3,0.917458773392625,0.0174283542816807,0.0100622650360605
"BARCS-moderated [safe-harbor]",0.1,"calls",3,466,11.5325625946708,6.65832811847939
"BARCS-moderated [safe-harbor]",0.1,"realized_fdp",3,0.00846584546472564,0.00733194510138611,0.00423310047796883
"BARCS-moderated [safe-harbor]",0.1,"held_out_control_call_rate",3,0.0266666666666667,0.023094010767585,0.0133333333333333
"BARCS-moderated [safe-harbor]",0.1,"safe_harbor_call_rate",3,0.035,0.005,0.00288675134594813
"BARCS-moderated [safe-harbor]",0.1,"f1",3,0.91366197594764,0.0165356746537865,0.00954687621259571
"BARCS-original [library]",0.1,"calls",3,204,167.358895789856,96.6247035355521
"BARCS-original [library]",0.1,"realized_fdp",3,0.00215749730312837,0.00373689494621117,0.00215749730312837
"BARCS-original [library]",0.1,"held_out_control_call_rate",3,0.00444444444444444,0.00769800358919501,0.00444444444444445
"BARCS-original [library]",0.1,"safe_harbor_call_rate",3,0.00166666666666667,0.00288675134594813,0.00166666666666667
"BARCS-original [library]",0.1,"f1",3,0.487741612548639,0.388750081840687,0.22444496439821
"BARCS-original [non-targeting]",0.1,"calls",3,428.333333333333,52.0416499866533,30.0462606288666
"BARCS-original [non-targeting]",0.1,"realized_fdp",3,0.00811263091922905,0.00621002800112768,0.00358536133812618
"BARCS-original [non-targeting]",0.1,"held_out_control_call_rate",3,0.0244444444444444,0.0203670030886926,0.0117588947158426
"BARCS-original [non-targeting]",0.1,"safe_harbor_call_rate",3,0.07,0.025,0.0144337567297406
"BARCS-original [non-targeting]",0.1,"f1",3,0.870441850180401,0.0652421631962532,0.0376675804838703
"BARCS-original [safe-harbor]",0.1,"calls",3,427,48.4458460551573,27.9702222610642
"BARCS-original [safe-harbor]",0.1,"realized_fdp",3,0.0143680056485089,0.00875504471455065,0.00505472742271303
"BARCS-original [safe-harbor]",0.1,"held_out_control_call_rate",3,0.0422222222222222,0.0269430125621825,0.0155555555555556
"BARCS-original [safe-harbor]",0.1,"safe_harbor_call_rate",3,0.0416666666666667,0.00763762615825973,0.00440958551844098
"BARCS-original [safe-harbor]",0.1,"f1",3,0.863737544496998,0.0611846161655861,0.035324954613465
"MAGeCK-MLE [non-targeting]",0.1,"calls",3,1.66666666666667,0.577350269189626,0.333333333333333
"MAGeCK-MLE [non-targeting]",0.1,"realized_fdp",3,0,0,0
"MAGeCK-MLE [non-targeting]",0.1,"held_out_control_call_rate",3,0,0,0
"MAGeCK-MLE [non-targeting]",0.1,"safe_harbor_call_rate",3,0,0,0
"MAGeCK-MLE [non-targeting]",0.1,"f1",3,0.00606440063073744,0.00200268044760383,0.00115624809552487
"BARCS-moderated [library]",0.2,"calls",3,263,224.368001283606,129.538925938628
"BARCS-moderated [library]",0.2,"realized_fdp",3,0.00342150026618883,0.00395509305804126,0.00228347404173014
"BARCS-moderated [library]",0.2,"held_out_control_call_rate",3,0.00888888888888889,0.0101835015443463,0.00587944735792131
"BARCS-moderated [library]",0.2,"safe_harbor_call_rate",3,0.00166666666666667,0.00288675134594813,0.00166666666666667
"BARCS-moderated [library]",0.2,"f1",3,0.56286251049942,0.47535013245546,0.274443526932484
"BARCS-moderated [non-targeting]",0.2,"calls",3,507.333333333333,7.09459888459759,4.09606857581484
"BARCS-moderated [non-targeting]",0.2,"realized_fdp",3,0.0242754752975342,0.012814500360154,0.00739845523246545
"BARCS-moderated [non-targeting]",0.2,"held_out_control_call_rate",3,0.0822222222222222,0.0433760473243181,0.025043172599077
"BARCS-moderated [non-targeting]",0.2,"safe_harbor_call_rate",3,0.171666666666667,0.0812916559883813,0.0469337594677624
"BARCS-moderated [non-targeting]",0.2,"f1",3,0.940443896349738,0.00438923072368719,0.00253412353985618
"BARCS-moderated [safe-harbor]",0.2,"calls",3,508.333333333333,11.1504857891185,6.43773597194266
"BARCS-moderated [safe-harbor]",0.2,"realized_fdp",3,0.0314202439346393,0.0134884057723649,0.00778753470361375
"BARCS-moderated [safe-harbor]",0.2,"held_out_control_call_rate",3,0.106666666666667,0.0461880215351701,0.0266666666666667
"BARCS-moderated [safe-harbor]",0.2,"safe_harbor_call_rate",3,0.105,0.01,0.00577350269189626
"BARCS-moderated [safe-harbor]",0.2,"f1",3,0.934471307677157,0.003673613505069,0.00212096174605023
"BARCS-original [library]",0.2,"calls",3,275,200.127459385263,115.543642548317
"BARCS-original [library]",0.2,"realized_fdp",3,0.018013468013468,0.0181841562282731,0.0104986274933797
"BARCS-original [library]",0.2,"held_out_control_call_rate",3,0.0466666666666667,0.0466666666666667,0.0269430125621825
"BARCS-original [library]",0.2,"safe_harbor_call_rate",3,0.0233333333333333,0.0251661147842358,0.0145296631451356
"BARCS-original [library]",0.2,"f1",3,0.593235378781351,0.387151380500837,0.223521953749293
"BARCS-original [non-targeting]",0.2,"calls",3,501.666666666667,17.0098010962308,9.82061324177082
"BARCS-original [non-targeting]",0.2,"realized_fdp",3,0.0330017120477675,0.0107989635419962,0.00623478450794046
"BARCS-original [non-targeting]",0.2,"held_out_control_call_rate",3,0.111111111111111,0.0390631018472154,0.0225530923668716
"BARCS-original [non-targeting]",0.2,"safe_harbor_call_rate",3,0.16,0.0458257569495584,0.0264575131106459
"BARCS-original [non-targeting]",0.2,"f1",3,0.926416689187663,0.0112237714063907,0.00648004744280252
"BARCS-original [safe-harbor]",0.2,"calls",3,497.666666666667,13.7961347243833,7.96520209689901
"BARCS-original [safe-harbor]",0.2,"realized_fdp",3,0.0352939160324534,0.0144779522149842,0.0083588496086357
"BARCS-original [safe-harbor]",0.2,"held_out_control_call_rate",3,0.117777777777778,0.0500370233297676,0.0288888888888889
"BARCS-original [safe-harbor]",0.2,"safe_harbor_call_rate",3,0.121666666666667,0.00577350269189625,0.00333333333333333
"BARCS-original [safe-harbor]",0.2,"f1",3,0.920380680372084,0.00888643762963361,0.00513058715760578
"MAGeCK-MLE [non-targeting]",0.2,"calls",3,1.66666666666667,0.577350269189626,0.333333333333333
"MAGeCK-MLE [non-targeting]",0.2,"realized_fdp",3,0,0,0
"MAGeCK-MLE [non-targeting]",0.2,"held_out_control_call_rate",3,0,0,0
"MAGeCK-MLE [non-targeting]",0.2,"safe_harbor_call_rate",3,0,0,0
"MAGeCK-MLE [non-targeting]",0.2,"f1",3,0.00606440063073744,0.00200268044760383,0.00115624809552487
