"analysis_protocol","method","design","genes","active_genes","auroc","average_precision","effect_spearman_active","direction_accuracy_active","calls_fdr_0_10","directional_recall_fdr_0_10","empirical_fdp_fdr_0_10","f1_fdr_0_10","negative_control_p_below_0_05","scenario_id","seed","moi","high_quality_guide_fraction","replicates","is_baseline"
"barcs-four-methods-v1","BARCS-EB","Unsorted 0-100%",400,60,0.526617647058824,0.172586096243143,-0.0662406223951098,0.483333333333333,0,0,0,0,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-original","Low + bulk + high",400,92,0.961674195369848,0.924923385330436,0.910392552748794,1,82,0.804347826086957,0.0975609756097561,0.850574712643678,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-NORM","Low + bulk + high",400,92,0.896386222473179,0.744383901329363,0.890526023765855,1,19,0.184782608695652,0.105263157894737,0.306306306306306,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-partial","Low + bulk + high",400,92,0.924336533032185,0.84140796888274,0.909529460721606,1,33,0.347826086956522,0.0303030303030303,0.512,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-EB","Low + bulk + high",400,92,0.955463015245624,0.91084846138066,0.910454202179307,1,39,0.41304347826087,0.0256410256410256,0.580152671755725,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-original","Two 25% tails",400,92,0.960156691134952,0.91666622337227,0.908990028204614,1,59,0.608695652173913,0.0508474576271186,0.741721854304636,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-NORM","Two 25% tails",400,92,0.89843308865048,0.74151569577862,0.890541436123484,1,18,0.173913043478261,0.111111111111111,0.290909090909091,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-partial","Two 25% tails",400,92,0.923595426312818,0.82857549862645,0.907233019434983,1,32,0.33695652173913,0.03125,0.5,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-EB","Two 25% tails",400,92,0.958462732919255,0.91365018835564,0.906277453262025,1,42,0.456521739130435,0,0.626865671641791,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-original","Unsorted 0-100%",400,92,0.482672219085263,0.211906173392818,0.139420187106022,0.554347826086957,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-NORM","Unsorted 0-100%",400,92,0.48140175042349,0.223458413895311,0.0786954980503368,0.543478260869565,0,0,0,0,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-partial","Unsorted 0-100%",400,92,0.496894409937888,0.214793757080926,0.134611531525977,0.532608695652174,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,4,TRUE
"barcs-four-methods-v1","BARCS-EB","Unsorted 0-100%",400,92,0.492835968379447,0.212685787864973,0.130419370251067,0.543478260869565,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250726,0.25,0.9,4,TRUE
