"scenario_id","method","design","simulations","moi","high_quality_guide_fraction","genes","replicates","is_baseline","auroc_mean","auroc_sd","average_precision_mean","average_precision_sd","effect_spearman_active_mean","effect_spearman_active_sd","direction_accuracy_active_mean","direction_accuracy_active_sd","directional_recall_fdr_0_10_mean","directional_recall_fdr_0_10_sd","empirical_fdp_fdr_0_10_mean","empirical_fdp_fdr_0_10_sd","f1_fdr_0_10_mean","f1_fdr_0_10_sd","negative_control_p_below_0_05_mean","negative_control_p_below_0_05_sd"
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS","Low + bulk + high",5,0.25,0.9,400,4,TRUE,0.955261046391472,0.00890249302437123,0.916953855376496,0.0207257176816776,0.923947750813321,0.013683859562889,0.984117647058824,0.0157535322805916,0.764227718605329,0.0885358127998467,0.0864231655074979,0.0435439354556713,0.82785910952004,0.0367037347202221,0.0611111111111111,0.065026110615109
"moi_0.25_quality_0.9_genes_400_replicates_4","DESeq2","Low + bulk + high",5,0.25,0.9,400,4,TRUE,0.962752324856389,0.00925156650796436,0.930306082764175,0.0155086911746307,0.920527975268347,0.0126669308812614,0.978235294117647,0.024902732734677,0.884247790475574,0.0210414052014517,0.239917582288609,0.0469369973681865,0.816871333934004,0.0310447268147158,0.130917874396135,0.0915677194738632
"moi_0.25_quality_0.9_genes_400_replicates_4","edgeR-QL","Low + bulk + high",5,0.25,0.9,400,4,TRUE,0.96473756747887,0.00584771286794149,0.932001983905312,0.0148438584691749,0.923807066801976,0.0131387468429649,0.982156862745098,0.0182679446256504,0.886112280171654,0.0208288771015221,0.232194306479847,0.052683507506329,0.821969727270581,0.0337927279080673,0.109806763285024,0.0824456678753677
"moi_0.25_quality_0.9_genes_400_replicates_4","limma-voom","Low + bulk + high",5,0.25,0.9,400,4,TRUE,0.964502805142551,0.00476466036480181,0.931591863603842,0.0156844284761771,0.925344772477803,0.0116823023838786,0.985277067348679,0.0158940769861266,0.890033848799105,0.0167823002864058,0.217910098786018,0.0533119467738838,0.832046516449069,0.0360926520399848,0.108502415458937,0.0891403186329497
"moi_0.25_quality_0.9_genes_400_replicates_4","MAGeCK-MLE","Low + bulk + high",5,0.25,0.9,400,4,TRUE,0.963885032519456,0.00920394057637,0.924466849404736,0.0184570799713903,0.9321798494859,0.0115621360636408,0.991633986928105,0.0114928651714161,0.716987672706213,0.0451178657821127,0.0482933339538488,0.0259462878032783,0.817157088312468,0.0314715449392415,0.02,0.0273861278752583
"moi_0.25_quality_0.9_genes_400_replicates_4","BARCS","Two 25% tails",5,0.25,0.9,400,4,TRUE,0.950476259993019,0.0114296384324154,0.906759251979589,0.0255161526786312,0.923203341733385,0.0123821782055817,0.982156862745098,0.0182679446256504,0.664251747295873,0.0588723565794793,0.0332832510053804,0.0234007791691088,0.785818373024223,0.0369189275258661,0.0411111111111111,0.042236839574996
"moi_0.25_quality_0.9_genes_400_replicates_4","DESeq2","Two 25% tails",5,0.25,0.9,400,4,TRUE,0.961953220757355,0.00950510143669203,0.929061046657557,0.0172390251199443,0.91749627404983,0.0162608778505584,0.977664432861752,0.0190896161387705,0.801099888129899,0.0321888180001569,0.0702186668641611,0.0143936554644268,0.860278331484907,0.0173419782971648,0.03,0.0447213595499958
"moi_0.25_quality_0.9_genes_400_replicates_4","edgeR-QL","Two 25% tails",5,0.25,0.9,400,4,TRUE,0.964784619092507,0.00614205536033393,0.931417044347506,0.0176394594162556,0.921751405239373,0.0122688011389686,0.982156862745098,0.0182679446256504,0.823369448311337,0.0309888402979334,0.0756151191128278,0.0169766680061367,0.870570997600505,0.0156033180864218,0.02,0.0447213595499958
"moi_0.25_quality_0.9_genes_400_replicates_4","limma-voom","Two 25% tails",5,0.25,0.9,400,4,TRUE,0.96592818676955,0.00452537159040504,0.93112436545401,0.0181742000512915,0.927258613214227,0.0131496985392067,0.983316283034953,0.0185431695662988,0.784065093291031,0.0569618566364119,0.0702822685383507,0.0168520390686719,0.84941065614128,0.0285656187909215,0.03,0.0447213595499958
"moi_0.25_quality_0.9_genes_400_replicates_4","MAGeCK-MLE","Two 25% tails",5,0.25,0.9,400,4,TRUE,0.962854105448924,0.00883401199954663,0.921457996713337,0.0166546445007641,0.931657217272673,0.0110931718938879,0.991633986928105,0.0114928651714161,0.549860719925468,0.0394245740565423,0.0118518518518518,0.0170531324936612,0.705743606952602,0.0327066379094901,0.01,0.0223606797749979
"moi_0.25_quality_0.9_genes_400_replicates_4","Bulk vs input","Unsorted 0-100%",5,0.25,0.9,400,4,TRUE,0.499635666020836,0.0177124189518588,0.214142885891989,0.0409848438691786,0.0596043305284932,0.0697649666414758,0.530766975658361,0.0559840313778842,0,0,0,0,0,0,0.028695652173913,0.0263303859628518
