"analysis_protocol","moi","method","reference","metric","runs","mean_difference","sd_difference","lower_95","upper_95"
"crispulator-moi-10k-v1",0.2,"DESeq2","BARCS-moderated","effect_spearman_active",3,-0.00146960732072462,0.000848806781426604,-0.00357816025645586,0.000638945615006632
"crispulator-moi-10k-v1",0.2,"DESeq2","BARCS-moderated","calls",3,609.666666666667,12.6622799421484,578.211819545636,641.121513787697
"crispulator-moi-10k-v1",0.2,"DESeq2","BARCS-moderated","directional_recall",3,0.0942020184708526,0.0060464051173553,0.0791819154983101,0.109222121443395
"crispulator-moi-10k-v1",0.2,"DESeq2","BARCS-moderated","realized_fdp",3,0.172696915503211,0.00110294039011152,0.169957059686322,0.175436771320099
"crispulator-moi-10k-v1",0.2,"DESeq2","BARCS-moderated","f1",3,-0.0348917171246736,0.00414027560266073,-0.045176731886283,-0.0246067023630643
"crispulator-moi-10k-v1",0.2,"DESeq2","BARCS-moderated","negative_control_gene_p_below_0_05",3,0.082358803986711,0.0117015387411599,0.0532905703142882,0.111427037659134
"crispulator-moi-10k-v1",0.3,"BARCS-original","BARCS-moderated","auroc",3,-0.00788825855656912,0.000937069934271809,-0.0102160693188411,-0.00556044779429712
"crispulator-moi-10k-v1",0.3,"BARCS-original","BARCS-moderated","average_precision",3,-0.0173051512487233,0.00197690852308769,-0.022216064263606,-0.0123942382338405
"crispulator-moi-10k-v1",0.3,"BARCS-original","BARCS-moderated","effect_spearman_active",3,0,0,0,0
"crispulator-moi-10k-v1",0.3,"BARCS-original","BARCS-moderated","calls",3,-80,16.8226038412607,-121.789664611912,-38.2103353880883
"crispulator-moi-10k-v1",0.3,"BARCS-original","BARCS-moderated","directional_recall",3,-0.0419743590014855,0.0042116803031903,-0.0524367528724766,-0.0315119651304944
"crispulator-moi-10k-v1",0.3,"BARCS-original","BARCS-moderated","realized_fdp",3,0.00455751738376039,0.00649419106773436,-0.0115749475549107,0.0206899823224314
"crispulator-moi-10k-v1",0.3,"BARCS-original","BARCS-moderated","f1",3,-0.0271651695424096,0.00216809590866328,-0.0325510183518116,-0.0217793207330075
"crispulator-moi-10k-v1",0.3,"BARCS-original","BARCS-moderated","negative_control_gene_p_below_0_05",3,-0.00331808625034105,0.00626987606303454,-0.0188933218265258,0.0122571493258437
"crispulator-moi-10k-v1",0.3,"edgeR-QL","BARCS-moderated","auroc",3,-0.00122259766059267,9.45015586396717e-05,-0.00145735254622866,-0.000987842774956671
"crispulator-moi-10k-v1",0.3,"edgeR-QL","BARCS-moderated","average_precision",3,-0.00272461965290334,0.000503761534789208,-0.00397603267920244,-0.00147320662660425
"crispulator-moi-10k-v1",0.3,"edgeR-QL","BARCS-moderated","effect_spearman_active",3,-0.00149825850825229,0.000443175415854061,-0.00259916727169599,-0.000397349744808577
"crispulator-moi-10k-v1",0.3,"edgeR-QL","BARCS-moderated","calls",3,439.666666666667,33.7095436535906,355.927518030888,523.405815302445
"crispulator-moi-10k-v1",0.3,"edgeR-QL","BARCS-moderated","directional_recall",3,0.0708963973571898,0.00940544706124076,0.0475319716164903,0.0942608230978893
"crispulator-moi-10k-v1",0.3,"edgeR-QL","BARCS-moderated","realized_fdp",3,0.130146445547027,0.00671731465061118,0.113459710901751,0.146833180192304
