"analysis_protocol","method","genes","active_genes","auroc","average_precision","effect_spearman_active","direction_accuracy_active","calls_fdr_0_10","directional_recall_fdr_0_10","empirical_fdp_fdr_0_10","f1_fdr_0_10","negative_control_p_below_0_05","scenario_id","seed","moi","high_quality_guide_fraction","genes_simulated","replicates","is_baseline"
"barcs-external-headtohead-v1","limma-voom",400,60,0.940294117647059,0.880622549423638,0.902584051125313,1,76,0.833333333333333,0.342105263157895,0.735294117647059,0.05,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-original",400,92,0.946499153020892,0.892068450065898,0.891034631567591,0.978260869565217,51,0.554347826086957,0,0.713286713286713,0.111111111111111,"moi_0.25_quality_0.9_genes_400_replicates_3",20250726,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-partial",400,92,0.897586109542631,0.80256657441794,0.902886734583789,1,28,0.282608695652174,0.0714285714285714,0.433333333333333,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_3",20250726,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-EB",400,92,0.926030491247883,0.873126161240247,0.902578487431222,1,29,0.315217391304348,0,0.479338842975207,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250726,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,92,0.950451722190853,0.898749053536668,0.911193995345468,1,55,0.565217391304348,0.0545454545454545,0.707482993197279,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_3",20250726,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","edgeR-QL",400,92,0.954721908526256,0.919228887124513,0.890710972057395,0.978260869565217,108,0.869565217391304,0.259259259259259,0.8,0.111111111111111,"moi_0.25_quality_0.9_genes_400_replicates_3",20250726,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","DESeq2",400,92,0.954933653303219,0.916864570556329,0.887351078094416,0.989130434782609,105,0.847826086956522,0.257142857142857,0.791878172588833,0.111111111111111,"moi_0.25_quality_0.9_genes_400_replicates_3",20250726,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","limma-voom",400,92,0.954792490118577,0.920007463349173,0.895858699505263,0.978260869565217,103,0.858695652173913,0.233009708737864,0.81025641025641,0.111111111111111,"moi_0.25_quality_0.9_genes_400_replicates_3",20250726,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-original",400,102,0.921996315304645,0.891927543664106,0.922431877682343,0.96078431372549,78,0.725490196078431,0.0512820512820513,0.822222222222222,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250727,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-partial",400,102,0.885313857086459,0.835756139227436,0.937325771412093,0.970588235294118,51,0.470588235294118,0.0588235294117647,0.627450980392157,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250727,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-EB",400,102,0.909297275957363,0.878034170937127,0.936160949047503,0.980392156862745,43,0.411764705882353,0.0232558139534884,0.579310344827586,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250727,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,102,0.931208053691275,0.896509847973001,0.938309650496746,0.980392156862745,60,0.558823529411765,0.05,0.703703703703704,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250727,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","edgeR-QL",400,102,0.93657060139492,0.909342767620906,0.920384956828064,0.96078431372549,106,0.813725490196078,0.207547169811321,0.807692307692308,0.15,"moi_0.25_quality_0.9_genes_400_replicates_3",20250727,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","DESeq2",400,102,0.927325963942624,0.902708399923794,0.916189334524543,0.950980392156863,102,0.823529411764706,0.176470588235294,0.823529411764706,0.15,"moi_0.25_quality_0.9_genes_400_replicates_3",20250727,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","limma-voom",400,102,0.937261481773918,0.912087043064068,0.919333224013435,0.96078431372549,106,0.823529411764706,0.19811320754717,0.817307692307692,0.15,"moi_0.25_quality_0.9_genes_400_replicates_3",20250727,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-original",400,90,0.939498207885305,0.910770352122526,0.892167757336297,0.955555555555556,84,0.811111111111111,0.130952380952381,0.839080459770115,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250728,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-partial",400,90,0.913010752688172,0.84739804046232,0.906704531423633,0.966666666666667,48,0.488888888888889,0.0833333333333333,0.63768115942029,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250728,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-EB",400,90,0.936415770609319,0.899371098156125,0.907363048936083,0.966666666666667,50,0.544444444444444,0.02,0.7,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250728,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","MAGeCK-MLE",400,90,0.952939068100358,0.909184229463373,0.906474050294275,0.988888888888889,51,0.555555555555556,0.0196078431372549,0.709219858156028,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250728,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","edgeR-QL",400,90,0.951541218637993,0.922697222827794,0.890998888751698,0.955555555555556,90,0.844444444444444,0.155555555555556,0.844444444444444,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250728,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","DESeq2",400,90,0.94989247311828,0.922200684756889,0.885236860517759,0.955555555555556,90,0.844444444444444,0.155555555555556,0.844444444444444,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250728,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","limma-voom",400,90,0.953297491039427,0.924693221929176,0.892052516771618,0.966666666666667,90,0.844444444444444,0.155555555555556,0.844444444444444,0.0434782608695652,"moi_0.25_quality_0.9_genes_400_replicates_3",20250728,0.25,0.9,400,3,FALSE
"barcs-external-headtohead-v1","BARCS-original",100,16,0.955357142857143,0.905982905982906,0.897058823529412,1,15,0.8125,0.133333333333333,0.838709677419355,0.285714285714286,"moi_0.25_quality_0.9_genes_100_replicates_4",20250724,0.25,0.9,100,4,FALSE
"barcs-external-headtohead-v1","BARCS-partial",100,16,0.952380952380952,0.872197730448844,0.894117647058823,1,6,0.375,0,0.545454545454545,0,"moi_0.25_quality_0.9_genes_100_replicates_4",20250724,0.25,0.9,100,4,FALSE
"barcs-external-headtohead-v1","BARCS-EB",100,16,0.962053571428571,0.911357106945342,0.894117647058823,1,7,0.4375,0,0.608695652173913,0,"moi_0.25_quality_0.9_genes_100_replicates_4",20250724,0.25,0.9,100,4,FALSE
"barcs-external-headtohead-v1","MAGeCK-MLE",100,16,0.952380952380952,0.90693108974359,0.888235294117647,1,14,0.75,0.142857142857143,0.8,0.142857142857143,"moi_0.25_quality_0.9_genes_100_replicates_4",20250724,0.25,0.9,100,4,FALSE
