"analysis_protocol","design","method","shared_guide_fit_seconds","gene_aggregation_seconds","converged_fraction","guide_control_scale","gene_null_scale","prior_tau2","prior_df","scenario_id","seed","moi","high_quality_guide_fraction","genes","replicates","total_seconds"
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.99,0.801,0.9996,1.30167560392841,1.20997112851477,0.00567787958591119,4,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250725,0.25,0.9,1000,4,1.791
"barcs-three-methods-v1","low_bulk_high","BARCS-original",1.049,0.364,0.9992,1.30429485287188,NA,NA,NA,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250726,0.25,0.9,1000,4,1.413
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",1.049,0.893,0.9992,1.30429485287188,1.7183174632311,NA,NA,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250726,0.25,0.9,1000,4,1.942
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",1.049,0.761,0.9992,1.30429485287188,1.28570025481555,0.00469788665202168,4,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250726,0.25,0.9,1000,4,1.81
"barcs-three-methods-v1","low_bulk_high","BARCS-original",1.12,0.371,0.9988,1.21151077644117,NA,NA,NA,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250727,0.25,0.9,1000,4,1.491
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",1.12,1.014,0.9988,1.21151077644117,1.43919151431492,NA,NA,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250727,0.25,0.9,1000,4,2.134
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",1.12,0.847,0.9988,1.21151077644117,1.34238748049249,0.00447322045462433,4,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250727,0.25,0.9,1000,4,1.967
"barcs-three-methods-v1","low_bulk_high","BARCS-original",1.019,0.35,0.9992,1.14671910505456,NA,NA,NA,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250728,0.25,0.9,1000,4,1.369
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",1.019,0.925,0.9992,1.14671910505456,1.39578730240055,NA,NA,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250728,0.25,0.9,1000,4,1.944
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",1.019,0.793,0.9992,1.14671910505456,1.25704095306145,0.00466855181023086,4,"moi_0.25_quality_0.9_genes_1000_replicates_4",20250728,0.25,0.9,1000,4,1.812
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.456,0.142,0.9995,1.45186923977685,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_6",20250724,0.25,0.9,400,6,0.598
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.456,0.409,0.9995,1.45186923977685,1.47256543110225,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_6",20250724,0.25,0.9,400,6,0.865
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.456,0.396,0.9995,1.45186923977685,1.34653046787327,0.00324298382881799,4,"moi_0.25_quality_0.9_genes_400_replicates_6",20250724,0.25,0.9,400,6,0.852
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.513,0.158,0.999,1.24013460437231,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_6",20250725,0.25,0.9,400,6,0.671
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.513,0.409,0.999,1.24013460437231,1.38223761384653,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_6",20250725,0.25,0.9,400,6,0.922
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.513,0.414,0.999,1.24013460437231,1.2841259886159,0.00283648694304304,4,"moi_0.25_quality_0.9_genes_400_replicates_6",20250725,0.25,0.9,400,6,0.927
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.551,0.167,0.999,1.16089507753006,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_6",20250726,0.25,0.9,400,6,0.718
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.551,0.423,0.999,1.16089507753006,1.47408243043016,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_6",20250726,0.25,0.9,400,6,0.974
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.551,0.401,0.999,1.16089507753006,1.3128191106112,0.00343323215656405,4,"moi_0.25_quality_0.9_genes_400_replicates_6",20250726,0.25,0.9,400,6,0.952
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.531,0.154,0.9995,1.32874846947673,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_6",20250727,0.25,0.9,400,6,0.685
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.531,0.416,0.9995,1.32874846947673,1.35830981767931,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_6",20250727,0.25,0.9,400,6,0.947
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.531,0.388,0.9995,1.32874846947673,1.27795377986537,0.00319610197451678,4,"moi_0.25_quality_0.9_genes_400_replicates_6",20250727,0.25,0.9,400,6,0.919
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.439,0.144,1,1.23154812815881,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_6",20250728,0.25,0.9,400,6,0.583
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.439,0.448,1,1.23154812815881,1.29448497986574,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_6",20250728,0.25,0.9,400,6,0.887
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.439,0.395,1,1.23154812815881,1.18065316521326,0.00340259814313316,4,"moi_0.25_quality_0.9_genes_400_replicates_6",20250728,0.25,0.9,400,6,0.834
