"analysis_protocol","design","method","shared_guide_fit_seconds","gene_aggregation_seconds","converged_fraction","guide_control_scale","gene_null_scale","prior_tau2","prior_df","scenario_id","seed","moi","high_quality_guide_fraction","genes","replicates","total_seconds"
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.309,0.398,0.947,1,1.43990739408218,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,400,1,0.707
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.309,0.344,0.947,1,1.25737186843133,0.0207233836131407,4,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,400,1,0.653
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.29,0.144,0.9625,1,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,400,1,0.434
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.29,0.377,0.9625,1,1.51619855982281,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,400,1,0.667
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.29,0.376,0.9625,1,1.2024595268673,0.0219192544821888,4,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,400,1,0.666
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.405,0.163,0.999,1.25408106948932,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,400,3,0.568
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.405,0.455,0.999,1.25408106948932,1.28897685597334,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,400,3,0.86
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.405,0.354,0.999,1.25408106948932,1.18697546961506,0.00743435102209799,4,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,400,3,0.759
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.43,0.154,0.9995,1.12952991153912,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,400,3,0.584
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.43,0.449,0.9995,1.12952991153912,1.34701206766182,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,400,3,0.879
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.43,0.389,0.9995,1.12952991153912,1.2110329438451,0.00674874810578677,4,"moi_0.25_quality_0.9_genes_400_replicates_3",20250725,0.25,0.9,400,3,0.819
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.422,0.151,0.9975,1.34928338981822,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_3",20250726,0.25,0.9,400,3,0.573
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.422,0.481,0.9975,1.34928338981822,1.51591915938876,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_3",20250726,0.25,0.9,400,3,0.903
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.422,0.38,0.9975,1.34928338981822,1.43431796531559,0.00727070661759267,4,"moi_0.25_quality_0.9_genes_400_replicates_3",20250726,0.25,0.9,400,3,0.802
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.368,0.137,0.999,1.12382288169271,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_3",20250727,0.25,0.9,400,3,0.505
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.368,0.364,0.999,1.12382288169271,1.39156166226135,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_3",20250727,0.25,0.9,400,3,0.732
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.368,0.339,0.999,1.12382288169271,1.34949202866028,0.0060923886010079,4,"moi_0.25_quality_0.9_genes_400_replicates_3",20250727,0.25,0.9,400,3,0.707
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.405,0.143,0.9995,1,NA,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_3",20250728,0.25,0.9,400,3,0.548
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.405,0.418,0.9995,1,1.35239121578676,NA,NA,"moi_0.25_quality_0.9_genes_400_replicates_3",20250728,0.25,0.9,400,3,0.823
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.405,0.371,0.9995,1,1.2085468512673,0.00677182675807366,4,"moi_0.25_quality_0.9_genes_400_replicates_3",20250728,0.25,0.9,400,3,0.776
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.126,0.043,1,1.13569950943245,NA,NA,NA,"moi_0.25_quality_0.9_genes_100_replicates_4",20250724,0.25,0.9,100,4,0.169
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.126,0.142,1,1.13569950943245,1.42577411547074,NA,NA,"moi_0.25_quality_0.9_genes_100_replicates_4",20250724,0.25,0.9,100,4,0.268
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.126,0.09,1,1.13569950943245,1.39833734578169,0.00488747771980854,4,"moi_0.25_quality_0.9_genes_100_replicates_4",20250724,0.25,0.9,100,4,0.216
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.137,0.044,1,1.09276539441786,NA,NA,NA,"moi_0.25_quality_0.9_genes_100_replicates_4",20250725,0.25,0.9,100,4,0.181
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.137,0.141,1,1.09276539441786,1.39618841153007,NA,NA,"moi_0.25_quality_0.9_genes_100_replicates_4",20250725,0.25,0.9,100,4,0.278
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.137,0.085,1,1.09276539441786,1.0752326865971,0.00359225940163098,4,"moi_0.25_quality_0.9_genes_100_replicates_4",20250725,0.25,0.9,100,4,0.222
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.123,0.044,1,1.42837024414075,NA,NA,NA,"moi_0.25_quality_0.9_genes_100_replicates_4",20250726,0.25,0.9,100,4,0.167
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.123,0.189,1,1.42837024414075,1.34524611781455,NA,NA,"moi_0.25_quality_0.9_genes_100_replicates_4",20250726,0.25,0.9,100,4,0.312
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.123,0.088,1,1.42837024414075,1.24868623449158,0.00498955285834545,4,"moi_0.25_quality_0.9_genes_100_replicates_4",20250726,0.25,0.9,100,4,0.211
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.134,0.047,1,1.26828288950283,NA,NA,NA,"moi_0.25_quality_0.9_genes_100_replicates_4",20250727,0.25,0.9,100,4,0.181
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.134,0.168,1,1.26828288950283,1.65481352054387,NA,NA,"moi_0.25_quality_0.9_genes_100_replicates_4",20250727,0.25,0.9,100,4,0.302
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.134,0.087,1,1.26828288950283,1.3938729697071,0.00468959577109833,4,"moi_0.25_quality_0.9_genes_100_replicates_4",20250727,0.25,0.9,100,4,0.221
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.143,0.045,1,1,NA,NA,NA,"moi_0.25_quality_0.9_genes_100_replicates_4",20250728,0.25,0.9,100,4,0.188
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.143,0.141,1,1,1.66618103252694,NA,NA,"moi_0.25_quality_0.9_genes_100_replicates_4",20250728,0.25,0.9,100,4,0.284
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.143,0.089,1,1,1.44360274466509,0.00348955164531008,4,"moi_0.25_quality_0.9_genes_100_replicates_4",20250728,0.25,0.9,100,4,0.232
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.391,0.142,0.9995,1.50975309104187,NA,NA,NA,"moi_0.25_quality_0.6_genes_400_replicates_4",20250724,0.25,0.6,400,4,0.533
"barcs-three-methods-v1","low_bulk_high","BARCS-partial",0.391,0.371,0.9995,1.50975309104187,1.4420596639528,NA,NA,"moi_0.25_quality_0.6_genes_400_replicates_4",20250724,0.25,0.6,400,4,0.762
"barcs-three-methods-v1","low_bulk_high","BARCS-EB",0.391,0.349,0.9995,1.50975309104187,1.23451257858578,0.00608302263952518,4,"moi_0.25_quality_0.6_genes_400_replicates_4",20250724,0.25,0.6,400,4,0.74
"barcs-three-methods-v1","low_bulk_high","BARCS-original",0.456,0.146,0.9995,1.18145004854351,NA,NA,NA,"moi_0.25_quality_0.6_genes_400_replicates_4",20250725,0.25,0.6,400,4,0.602
