"scenario_id","seed","method","moi","high_quality_guide_fraction","genes","is_baseline","effect_spearman","significance_spearman"
"moi_0.1_quality_0.9_genes_400",20250728,"MAGeCK-MLE",0.1,0.9,400,FALSE,0.999907327541454,0.998646241412094
"moi_0.4_quality_0.9_genes_400",20250724,"BARCS",0.4,0.9,400,FALSE,0.99961149757186,0.972107700673129
"moi_0.4_quality_0.9_genes_400",20250724,"MAGeCK-MLE",0.4,0.9,400,FALSE,0.999879858607223,0.997793392251836
"moi_0.4_quality_0.9_genes_400",20250725,"BARCS",0.4,0.9,400,FALSE,0.999565372283577,0.969669060431628
"moi_0.4_quality_0.9_genes_400",20250725,"MAGeCK-MLE",0.4,0.9,400,FALSE,0.999832092684842,0.997888361802261
"moi_0.4_quality_0.9_genes_400",20250726,"BARCS",0.4,0.9,400,FALSE,0.999633997712486,0.97765211032569
"moi_0.4_quality_0.9_genes_400",20250726,"MAGeCK-MLE",0.4,0.9,400,FALSE,0.999866311664448,0.998090863067894
"moi_0.4_quality_0.9_genes_400",20250727,"BARCS",0.4,0.9,400,FALSE,0.999614872592954,0.977043106519416
"moi_0.4_quality_0.9_genes_400",20250727,"MAGeCK-MLE",0.4,0.9,400,FALSE,0.999905780652296,0.998046097071519
"moi_0.4_quality_0.9_genes_400",20250728,"BARCS",0.4,0.9,400,FALSE,0.999405058781617,0.969858061612885
"moi_0.4_quality_0.9_genes_400",20250728,"MAGeCK-MLE",0.4,0.9,400,FALSE,0.999866171032297,0.998458412167815
"moi_0.25_quality_0.9_genes_1000",20250724,"BARCS",0.25,0.9,1000,FALSE,0.99933357933358,0.974670662670663
"moi_0.25_quality_0.9_genes_1000",20250724,"MAGeCK-MLE",0.25,0.9,1000,FALSE,0.999900042898544,0.998291195239931
"moi_0.25_quality_0.9_genes_1000",20250725,"BARCS",0.25,0.9,1000,FALSE,0.998592794592795,0.975027711027711
"moi_0.25_quality_0.9_genes_1000",20250725,"MAGeCK-MLE",0.25,0.9,1000,FALSE,0.99989876189694,0.998607776574363
"moi_0.25_quality_0.9_genes_1000",20250726,"BARCS",0.25,0.9,1000,FALSE,0.998823638823639,0.976040668040668
"moi_0.25_quality_0.9_genes_1000",20250726,"MAGeCK-MLE",0.25,0.9,1000,FALSE,0.99990052889844,0.998477381436271
"moi_0.25_quality_0.9_genes_1000",20250727,"BARCS",0.25,0.9,1000,FALSE,0.9995106995107,0.975856131856132
"moi_0.25_quality_0.9_genes_1000",20250727,"MAGeCK-MLE",0.25,0.9,1000,FALSE,0.999903996903709,0.998217599190863
"moi_0.25_quality_0.9_genes_1000",20250728,"BARCS",0.25,0.9,1000,FALSE,0.999174219174219,0.975661167661168
"moi_0.25_quality_0.9_genes_1000",20250728,"MAGeCK-MLE",0.25,0.9,1000,FALSE,0.999898929898324,0.998536043514084
