"analysis_protocol","method","nominal_fdr","genes","active_genes","calls","true_positive","false_positive","true_negative","false_negative","precision","recall","directional_recall","f1","realized_fdp","specificity","balanced_accuracy","scenario_id","seed","moi","high_quality_guide_fraction","genes_simulated","replicates","is_baseline"
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.005,400,90,0,0,0,310,90,0,0,0,0,0,1,0.5,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-NORM",0.001,400,90,0,0,0,310,90,0,0,0,0,0,1,0.5,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.1,400,90,58,53,5,305,37,0.913793103448276,0.588888888888889,0.588888888888889,0.716216216216216,0.0862068965517241,0.983870967741935,0.786379928315412,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.05,400,90,46,45,1,309,45,0.978260869565217,0.5,0.5,0.661764705882353,0.0217391304347826,0.996774193548387,0.748387096774194,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.01,400,90,38,38,0,310,52,1,0.422222222222222,0.422222222222222,0.59375,0,1,0.711111111111111,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.005,400,90,33,33,0,310,57,1,0.366666666666667,0.366666666666667,0.536585365853658,0,1,0.683333333333333,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-partial",0.001,400,90,26,26,0,310,64,1,0.288888888888889,0.288888888888889,0.448275862068966,0,1,0.644444444444444,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.1,400,90,65,65,0,310,25,1,0.722222222222222,0.722222222222222,0.838709677419355,0,1,0.861111111111111,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.05,400,90,55,55,0,310,35,1,0.611111111111111,0.611111111111111,0.758620689655172,0,1,0.805555555555556,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.01,400,90,35,35,0,310,55,1,0.388888888888889,0.388888888888889,0.56,0,1,0.694444444444444,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.005,400,90,31,31,0,310,59,1,0.344444444444444,0.344444444444444,0.512396694214876,0,1,0.672222222222222,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","BARCS-EB",0.001,400,90,21,21,0,310,69,1,0.233333333333333,0.233333333333333,0.378378378378378,0,1,0.616666666666667,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","MAGeCK-MLE",0.1,400,90,74,70,4,306,20,0.945945945945946,0.777777777777778,0.777777777777778,0.853658536585366,0.0540540540540541,0.987096774193548,0.882437275985663,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
"crispulator-f1-threshold-curves-v1","MAGeCK-MLE",0.05,400,90,57,56,1,309,34,0.982456140350877,0.622222222222222,0.622222222222222,0.761904761904762,0.0175438596491228,0.996774193548387,0.809498207885305,"moi_0.25_quality_0.9_genes_400_replicates_4",20250728,0.25,0.9,400,4,TRUE
