gene_id	SYMBOL	HT29_LARGE_INTESTINE
RALA (5898)	RALA	4.9759052735237
BAIAP2L1 (55971)	BAIAP2L1	5.0518071070133
KDM7A (80853)	KDM7A	1.41142624572647
ETV1 (2115)	ETV1	1.78240856492737
AGK (55750)	AGK	4.58135124716878
ALDH3B1 (221)	ALDH3B1	5.34837407519116
TTC22 (55001)	TTC22	3.31179371775365
PHTF2 (57157)	PHTF2	3.23112515787905
CCL26 (10344)	CCL26	0
FARP2 (9855)	FARP2	4.93026424523502
USH1C (10083)	USH1C	5.93357263826102
GGCT (79017)	GGCT	7.55949181320504
DBF4 (10926)	DBF4	5.05093696522523
TBXA2R (6915)	TBXA2R	0.0143552929770701
IFRD1 (3475)	IFRD1	5.10055722078293
LGALS14 (56891)	LGALS14	0
COX10 (1352)	COX10	3.39780296186249
GTF2IRD1 (9569)	GTF2IRD1	4.64904056563445
PAF1 (54623)	PAF1	6.18388345903223
VPS41 (27072)	VPS41	4.21179097625254
ARHGAP44 (9912)	ARHGAP44	0.400537929583729
ELAC2 (60528)	ELAC2	4.99186193055632
SCIN (85477)	SCIN	1.61823865559545
ARSD (414)	ARSD	3.79285535236249
PNPLA4 (8228)	PNPLA4	2.15380533607904
MYH13 (8735)	MYH13	0
ADIPOR2 (79602)	ADIPOR2	5.28243980500639
CDKL3 (51265)	CDKL3	0.37851162325373
UPP2 (151531)	UPP2	0
PRSS21 (10942)	PRSS21	0.0840642647884745
MARK4 (57787)	MARK4	3.16510798514454
PROM1 (8842)	PROM1	5.70487196445635
CCDC124 (115098)	CCDC124	6.83086375675176
CEACAM21 (90273)	CEACAM21	0
PAFAH1B1 (5048)	PAFAH1B1	4.61941301059794
NOS2 (4843)	NOS2	0
DNAH9 (1770)	DNAH9	0.111031312388744
KIAA0100 (9703)	KIAA0100	6.17112674665207
SLC13A2 (9058)	SLC13A2	0
GAS7 (8522)	GAS7	0.150559676575381
TRAPPC6A (79090)	TRAPPC6A	6.01256867350306
MATK (4145)	MATK	0.250961573533219
CEACAM7 (1087)	CEACAM7	0.613531652917927
CD79B (974)	CD79B	0.070389327891398
SCN4A (6329)	SCN4A	0
ST7L (54879)	ST7L	4.09761079662642
TKTL1 (8277)	TKTL1	0.0143552929770701
PAX6 (5080)	PAX6	0.070389327891398
RPUSD1 (113000)	RPUSD1	5.07809742302666
RHBDF1 (64285)	RHBDF1	6.549823164967
LUC7L (55692)	LUC7L	4.94251450533924
CACNA2D2 (9254)	CACNA2D2	0.790772037862
BAIAP3 (8938)	BAIAP3	2.37016428054021
TSR3 (115939)	TSR3	5.46466826700344
PIGQ (9091)	PIGQ	4.68257329734758
CRAMP1 (57585)	CRAMP1	3.0071955014042
TEAD3 (7005)	TEAD3	4.27575204882853
SELE (6401)	SELE	0
DNAJC11 (55735)	DNAJC11	5.61500424163503
FMO3 (2328)	FMO3	0
MYLIP (29116)	MYLIP	3.31759350462347
NOX1 (27035)	NOX1	4.13996056954546
E2F2 (1870)	E2F2	1.20163386116965
PSMB1 (5689)	PSMB1	8.32809144899525
SYN1 (6853)	SYN1	0.150559676575381
JARID2 (3720)	JARID2	2.45680614923047
CDKL5 (6792)	CDKL5	0.941106310946431
CAMK1G (57172)	CAMK1G	0
CDK11A (728642)	CDK11A	5.35755200461808
NADK (65220)	NADK	6.09360242879573
TFAP2B (7021)	TFAP2B	0
TFAP2D (83741)	TFAP2D	0
DLEC1 (9940)	DLEC1	0.895302621333307
CYTH3 (9265)	CYTH3	1.24488705912353
ADAM22 (53616)	ADAM22	2.15704371014558
SYPL1 (6856)	SYPL1	6.63981097771678
CYB561 (1534)	CYB561	5.65535182861255
SPAG9 (9043)	SPAG9	4.16108148227718
CELSR3 (1951)	CELSR3	2.94673086014031
AASS (10157)	AASS	0.20163386116965
PLEKHG6 (55200)	PLEKHG6	4.11186596386756
SS18L2 (51188)	SS18L2	4.72574115650395
MPND (84954)	MPND	3.45022149589718
MGST1 (4257)	MGST1	8.08709151165491
