"cell_line","guide_rule","positives","nulls","mean_guides_per_gene","auroc","average_precision","recall_at_5pct_null_fpr","null_p_lt_0_05","essential_fdr_0_10_recall"
"HAP1","all_valid_guides",60,1570,7.17791411042945,0.966645435244161,0.875370017597571,0.883333333333333,0.043312101910828,0.733333333333333
"HAP1","top5_by_mean_day0_abundance",60,1570,4.93865030674847,0.944915074309979,0.789525147623506,0.816666666666667,0.0337579617834395,0.55
"HEK293FT","all_valid_guides",60,1413,7.11337406653089,0.898572776598254,0.661567940864207,0.7,0.0247699929228592,0.183333333333333
"HEK293FT","top5_by_mean_day0_abundance",60,1413,4.92735913102512,0.8431115829205,0.542278400692111,0.6,0.0233545647558386,0
"K562","all_valid_guides",60,1766,7.19167579408543,0.911325028312571,0.55169881670219,0.683333333333333,0.0917327293318233,0
"K562","top5_by_mean_day0_abundance",60,1766,4.9408543263965,0.870536051340128,0.279045117111533,0.533333333333333,0.0821064552661382,0
"MDA-MB-231","all_valid_guides",60,1785,7.18211382113821,0.979075630252101,0.94410237253972,0.966666666666667,0.096358543417367,0.8
"MDA-MB-231","top5_by_mean_day0_abundance",60,1785,4.94363143631436,0.950065359477124,0.820533428432693,0.85,0.0638655462184874,0.583333333333333
"THP1","all_valid_guides",60,1915,7.14886075949367,0.93733681462141,0.845190098710899,0.883333333333333,0.0668407310704961,0.716666666666667
"THP1","top5_by_mean_day0_abundance",60,1915,4.93822784810127,0.914351610095735,0.758501541763399,0.8,0.0590078328981723,0.516666666666667
