"cell_line","analysis","average_precision","recall_at_5pct_null_fpr","essential_fdr_0_10_recall","null_p_lt_0_05"
"HAP1","Days 0, 7, and 14",0.885397393152783,0.9,0.783333333333333,0.0694267515923567
"HEK293FT","Days 0, 7, and 14",0.66590501190835,0.7,0.266666666666667,0.0304317055909413
"MDA-MB-231","Days 0, 7, and 14",0.94376997285977,0.95,0.716666666666667,0.0285714285714286
"THP1","Days 0, 7, and 14",0.857579708295297,0.916666666666667,0.633333333333333,0.0276762402088773
"HAP1","Days 0 and 14",0.875370017597571,0.883333333333333,0.733333333333333,0.043312101910828
"HEK293FT","Days 0 and 14",0.661567940864207,0.7,0.183333333333333,0.0247699929228592
"MDA-MB-231","Days 0 and 14",0.94410237253972,0.966666666666667,0.616666666666667,0.0532212885154062
"THP1","Days 0 and 14",0.845190098710899,0.883333333333333,0.616666666666667,0.031331592689295
