"analysis","average_precision","recall_at_5pct_null_fpr","essential_fdr_0_10_recall","null_p_lt_0_05"
"Days 0 and 14",0.831557607428099,0.858333333333333,0.5375,0.0381587440095971
"Days 0, 7, and 14",0.83816302155405,0.866666666666667,0.6,0.039026531490901
