"analysis_protocol","scope","method","reference","metric","runs","mean_difference","sd_difference","lower_95","upper_95"
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","BARCS-original","negative_control_p_below_0_05",45,0.0612285419749141,0.0789320720559929,0.0375147222690727,0.0849423616807556
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-original","auroc",45,0.00876447430695533,0.00837080405818342,0.00624960635710761,0.0112793422568031
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-original","average_precision",45,0.01633207874797,0.012879851796666,0.0124625428877251,0.0202016146082149
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-original","directional_recall_fdr_0_10",45,0.118622212309385,0.08577798111287,0.0928516538296999,0.14439277078907
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-original","empirical_fdp_fdr_0_10",45,0.135086079700735,0.0649874527675865,0.115561687423547,0.154610471977922
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-original","f1_fdr_0_10",45,0.0143379767386902,0.0745493102325866,-0.0080591155458798,0.0367350690232602
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","BARCS-original","negative_control_p_below_0_05",45,0.0586005383403516,0.0672673627387735,0.0383911852786058,0.0788098914020973
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","BARCS-EB","auroc",45,0.00901796620156855,0.00979397406503574,0.0060755306473975,0.0119604017557396
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","BARCS-EB","average_precision",45,0.0167206781919966,0.0188606853867706,0.0110543010003121,0.0223870553836811
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","BARCS-EB","directional_recall_fdr_0_10",45,0.20730178283335,0.0984543983496332,0.177722807001396,0.236880758665305
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","BARCS-EB","empirical_fdp_fdr_0_10",45,0.0802510065640552,0.0487185695766585,0.065614327896253,0.0948876852318573
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","BARCS-EB","f1_fdr_0_10",45,0.136733829293696,0.0990573065010768,0.10697371980048,0.166493938786913
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-original","BARCS-EB","negative_control_p_below_0_05",45,0.0474470472810553,0.0657082464367949,0.0277061046122274,0.0671879899498833
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-EB","auroc",45,-0.0430054712088156,0.0180186044134667,-0.0484188592687251,-0.0375920831489061
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-EB","average_precision",45,-0.13655130959115,0.0498616860307276,-0.151531418461511,-0.121571200720789
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-EB","directional_recall_fdr_0_10",45,-0.326320648103341,0.113197815714474,-0.360329036873927,-0.292312259332755
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-EB","empirical_fdp_fdr_0_10",45,0.0511877379881441,0.102800920794473,0.020302922249552,0.0820725537267362
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-EB","f1_fdr_0_10",45,-0.371061396862745,0.128871236244367,-0.409778602454408,-0.332344191271082
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-NORM","BARCS-EB","negative_control_p_below_0_05",45,0.035372757218936,0.0512482745480848,0.0199760710403869,0.0507694433974851
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","BARCS-EB","auroc",45,-0.0243418807209397,0.0114947318952645,-0.0277952804940753,-0.0208884809478041
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","BARCS-EB","average_precision",45,-0.060870723463571,0.0280798277465121,-0.0693068376464029,-0.0524346092807391
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","BARCS-EB","directional_recall_fdr_0_10",45,-0.0825466216050735,0.0721988370627849,-0.104237553573308,-0.0608556896368392
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","BARCS-EB","empirical_fdp_fdr_0_10",45,0.0333266369946149,0.039702912226913,0.0213985616530988,0.045254712336131
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","BARCS-EB","f1_fdr_0_10",45,-0.0845012084809077,0.0711062472519589,-0.105863890130716,-0.0631385268310989
"barcs-external-headtohead-v1","multi-replicate settings","BARCS-partial","BARCS-EB","negative_control_p_below_0_05",45,0.0015336770046915,0.0280843868818787,-0.0069038068940402,0.00997116090342319
"barcs-external-headtohead-v1","multi-replicate settings","MAGeCK-MLE","BARCS-EB","auroc",45,0.0145986610733591,0.0164316772769155,0.00966203870605405,0.0195352834406641
"barcs-external-headtohead-v1","multi-replicate settings","MAGeCK-MLE","BARCS-EB","average_precision",45,0.0189171397820784,0.0310719277646575,0.00958209923732598,0.0282521803268309
"barcs-external-headtohead-v1","multi-replicate settings","MAGeCK-MLE","BARCS-EB","directional_recall_fdr_0_10",45,0.149050994645837,0.105529861737354,0.117346314284136,0.180755675007538
"barcs-external-headtohead-v1","multi-replicate settings","MAGeCK-MLE","BARCS-EB","empirical_fdp_fdr_0_10",45,0.0503138639154249,0.0441566541140045,0.0370477363807277,0.063579991450122
"barcs-external-headtohead-v1","multi-replicate settings","MAGeCK-MLE","BARCS-EB","f1_fdr_0_10",45,0.112609187746668,0.101484345722365,0.0821199149486824,0.143098460544654
"barcs-external-headtohead-v1","multi-replicate settings","MAGeCK-MLE","BARCS-EB","negative_control_p_below_0_05",45,0.026344384112747,0.0532333078571465,0.0103513279064633,0.0423374403190306
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","BARCS-EB","auroc",45,0.0180161855714284,0.0142487712023702,0.013735380791806,0.0222969903510508
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","BARCS-EB","average_precision",45,0.0336869077408401,0.0279549027097222,0.0252883251940341,0.042085490287646
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","BARCS-EB","directional_recall_fdr_0_10",45,0.333493902818235,0.106056207137833,0.301631090792119,0.365356714844352
