"scenario_id","metric","method","reference","n","mean_difference","sd_difference","lower_95","upper_95"
"moi_0.25_quality_0.75_genes_400_replicates_4","average_precision","BARCS-partial","BARCS-original",5,-0.111585095519043,0.0233526571697912,-0.140581249189168,-0.0825889418489183
"moi_0.25_quality_0.9_genes_100_replicates_4","average_precision","BARCS-partial","BARCS-original",5,-0.0398649786372704,0.0218489408467507,-0.0669940218855645,-0.0127359353889764
"moi_0.25_quality_0.9_genes_1000_replicates_4","average_precision","BARCS-partial","BARCS-original",5,-0.0575646800557504,0.0123777954834887,-0.0729337430847275,-0.0421956170267733
"moi_0.25_quality_0.9_genes_400_replicates_1","average_precision","BARCS-partial","BARCS-original",5,-0.0709002342170934,0.036346101438359,-0.116029879848166,-0.025770588586021
"moi_0.25_quality_0.9_genes_400_replicates_3","average_precision","BARCS-partial","BARCS-original",5,-0.0730260927954954,0.0363279338565879,-0.118133180394348,-0.0279190051966425
"moi_0.25_quality_0.9_genes_400_replicates_4","average_precision","BARCS-partial","BARCS-original",5,-0.0747337494876634,0.0333444018581823,-0.116136292816607,-0.0333312061587197
"moi_0.25_quality_0.9_genes_400_replicates_6","average_precision","BARCS-partial","BARCS-original",5,-0.0497182170992178,0.016111392055799,-0.0697231525758496,-0.029713281622586
"moi_0.4_quality_0.9_genes_400_replicates_4","average_precision","BARCS-partial","BARCS-original",5,-0.0825159911406274,0.0205285491079423,-0.108005551503317,-0.0570264307779374
"moi_0.1_quality_0.9_genes_400_replicates_4","average_precision","BARCS-EB","BARCS-original",5,-0.0107317587114914,0.00600977680937834,-0.0181938822129363,-0.0032696352100464
"moi_0.25_quality_0.6_genes_400_replicates_4","average_precision","BARCS-EB","BARCS-original",5,-0.050132846496925,0.0192335493840479,-0.0740144523247715,-0.0262512406690785
"moi_0.25_quality_0.75_genes_400_replicates_4","average_precision","BARCS-EB","BARCS-original",5,-0.025497346238576,0.0101881134295602,-0.0381475598936771,-0.0128471325834748
"moi_0.25_quality_0.9_genes_100_replicates_4","average_precision","BARCS-EB","BARCS-original",5,0.00110569515400036,0.0201202778951673,-0.0238769295422839,0.0260883198502847
"moi_0.25_quality_0.9_genes_1000_replicates_4","average_precision","BARCS-EB","BARCS-original",5,-0.00483507196928663,0.00661102342694403,-0.0130437417498047,0.00337359781123145
"moi_0.25_quality_0.9_genes_400_replicates_1","average_precision","BARCS-EB","BARCS-original",5,-0.00040256144340003,0.0168212671075084,-0.0212889232149623,0.0204838003281623
"moi_0.25_quality_0.9_genes_400_replicates_3","average_precision","BARCS-EB","BARCS-original",5,-0.0085752580049778,0.00959630499845209,-0.0204906444373386,0.00334012842738299
"moi_0.25_quality_0.9_genes_400_replicates_4","average_precision","BARCS-EB","BARCS-original",5,-0.0141957150147358,0.00898475939409187,-0.0253517672869028,-0.00303966274256891
"moi_0.25_quality_0.9_genes_400_replicates_6","average_precision","BARCS-EB","BARCS-original",5,-0.00775657145043098,0.00814364275321846,-0.0178682394713353,0.00235509657047336
"moi_0.4_quality_0.9_genes_400_replicates_4","average_precision","BARCS-EB","BARCS-original",5,-0.0298672309955464,0.0140600796193855,-0.0473251256708159,-0.012409336320277
"moi_0.1_quality_0.9_genes_400_replicates_4","average_precision","BARCS-EB","BARCS-partial",5,0.0399498602322786,0.0133015838448813,0.0234337624530007,0.0564659580115565
"moi_0.25_quality_0.6_genes_400_replicates_4","average_precision","BARCS-EB","BARCS-partial",5,0.108499344724346,0.0215554086567664,0.0817347698286691,0.135263919620022
"moi_0.25_quality_0.75_genes_400_replicates_4","average_precision","BARCS-EB","BARCS-partial",5,0.0860877492804671,0.0173912865669631,0.0644936148678243,0.10768188369311
"moi_0.25_quality_0.9_genes_100_replicates_4","average_precision","BARCS-EB","BARCS-partial",5,0.0409706737912708,0.0128555485979142,0.0250084019200818,0.0569329456624598
"moi_0.25_quality_0.9_genes_1000_replicates_4","average_precision","BARCS-EB","BARCS-partial",5,0.0527296080864638,0.00907027526350715,0.0414673738379688,0.0639918423349587
"moi_0.25_quality_0.9_genes_400_replicates_1","average_precision","BARCS-EB","BARCS-partial",5,0.0704976727736934,0.0205675852330804,0.0449596426597901,0.0960357028875967
"moi_0.25_quality_0.9_genes_400_replicates_3","average_precision","BARCS-EB","BARCS-partial",5,0.0644508347905176,0.0344118470611452,0.0217228831829996,0.107178786398036
"moi_0.25_quality_0.9_genes_400_replicates_4","average_precision","BARCS-EB","BARCS-partial",5,0.0605380344729276,0.0245440944544989,0.0300625160202637,0.0910135529255914
"moi_0.25_quality_0.9_genes_400_replicates_6","average_precision","BARCS-EB","BARCS-partial",5,0.0419616456487868,0.01651952815112,0.0214499422762274,0.0624733490213461
"moi_0.4_quality_0.9_genes_400_replicates_4","average_precision","BARCS-EB","BARCS-partial",5,0.052648760145081,0.0109157798703949,0.0390950292676943,0.0662024910224677
"moi_0.1_quality_0.9_genes_400_replicates_4","effect_spearman_active","BARCS-partial","BARCS-original",5,0.00417681064886839,0.00558478909111518,-0.00275762090313045,0.0111112422008672
"moi_0.25_quality_0.6_genes_400_replicates_4","effect_spearman_active","BARCS-partial","BARCS-original",5,0.0146087249726364,0.0223124491494351,-0.0130958398479694,0.0423132897932422
"moi_0.25_quality_0.75_genes_400_replicates_4","effect_spearman_active","BARCS-partial","BARCS-original",5,0.00913449079520541,0.0238862044445187,-0.0205241493172882,0.038793130907699
"moi_0.25_quality_0.9_genes_100_replicates_4","effect_spearman_active","BARCS-partial","BARCS-original",5,-0.00937296708953741,0.015316054391615,-0.0283903604221365,0.00964442624306165
"moi_0.25_quality_0.9_genes_1000_replicates_4","effect_spearman_active","BARCS-partial","BARCS-original",5,0.00606054486956542,0.00709253671841772,-0.00274600262963213,0.014867092368763
"moi_0.25_quality_0.9_genes_400_replicates_1","effect_spearman_active","BARCS-partial","BARCS-original",5,0.0163453967155124,0.0193775140895169,-0.00771496490412692,0.0404057583351516
"moi_0.25_quality_0.9_genes_400_replicates_3","effect_spearman_active","BARCS-partial","BARCS-original",5,0.00947602765991578,0.00779529991802021,-0.000203115603490676,0.0191551709233222
"moi_0.25_quality_0.9_genes_400_replicates_4","effect_spearman_active","BARCS-partial","BARCS-original",5,0.00516144602249922,0.0139695666943736,-0.0121840620124108,0.0225069540574092
"moi_0.25_quality_0.9_genes_400_replicates_6","effect_spearman_active","BARCS-partial","BARCS-original",5,0.00342199225839721,0.00874183584223862,-0.00743243058511777,0.0142764151019122
