"scenario_id","metric","method","reference","n","mean_difference","sd_difference","lower_95","upper_95"
"moi_0.25_quality_0.9_genes_400_replicates_3","empirical_fdp_fdr_0_10","BARCS-partial","BARCS-original",5,0.00739075471037217,0.0474396651131972,-0.0515133695475279,0.0662948789682722
"moi_0.25_quality_0.9_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-partial","BARCS-original",5,-0.0400103951035316,0.0254711815696475,-0.0716370442502741,-0.00838374595678911
"moi_0.25_quality_0.9_genes_400_replicates_6","empirical_fdp_fdr_0_10","BARCS-partial","BARCS-original",5,-0.0304212280930056,0.064326710038926,-0.110293388071233,0.0494509318852214
"moi_0.4_quality_0.9_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-partial","BARCS-original",5,0.00291461750082284,0.0449811995671413,-0.0529369185977152,0.0587661535993609
"moi_0.1_quality_0.9_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-original",5,-0.0956261571532578,0.046534463289146,-0.153406324895125,-0.0378459894113905
"moi_0.25_quality_0.6_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-original",5,-0.0595616211745244,0.0569707299198839,-0.130300125467434,0.0111768831183855
"moi_0.25_quality_0.75_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-original",5,-0.0938429774620832,0.0359564414803755,-0.138488796351786,-0.0491971585723805
"moi_0.25_quality_0.9_genes_100_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-original",5,-0.143404761904762,0.038145576860412,-0.19076875138305,-0.0960407724264737
"moi_0.25_quality_0.9_genes_1000_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-original",5,-0.0679588514085517,0.0269209784807198,-0.10138566118448,-0.0345320416326237
"moi_0.25_quality_0.9_genes_400_replicates_1","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-original",5,0,0,0,0
"moi_0.25_quality_0.9_genes_400_replicates_3","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-original",5,-0.0640996496152872,0.0499418317520521,-0.12611062410616,-0.00208867512441441
"moi_0.25_quality_0.9_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-original",5,-0.0780691539276799,0.0423652978884986,-0.130672619089007,-0.0254656887663532
"moi_0.25_quality_0.9_genes_400_replicates_6","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-original",5,-0.0727017144617273,0.0593995375257349,-0.146455981717386,0.0010525527939312
"moi_0.4_quality_0.9_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-original",5,-0.0469941719686231,0.0372252946927124,-0.0932154802110898,-0.000772863726156467
"moi_0.1_quality_0.9_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-partial",5,-0.0139773377217612,0.0112576390522957,-0.0279555428377695,8.67394247070635e-07
"moi_0.25_quality_0.6_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-partial",5,-0.048888888888889,0.0811187211041955,-0.1496110844643,0.0518333066865225
"moi_0.25_quality_0.75_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-partial",5,-0.0120728291316527,0.0382630387431195,-0.05958266680086,0.0354370085375546
"moi_0.25_quality_0.9_genes_100_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-partial",5,-0.0025,0.00559016994374948,-0.00944111276299449,0.00444111276299449
"moi_0.25_quality_0.9_genes_1000_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-partial",5,-0.0207622382212557,0.0211533516243629,-0.0470275933745723,0.00550311693206084
"moi_0.25_quality_0.9_genes_400_replicates_1","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-partial",5,-0.0901960784313724,0.0933977551785424,-0.206164708549618,0.0257725516868728
"moi_0.25_quality_0.9_genes_400_replicates_3","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-partial",5,-0.0714904043256593,0.0248748320281115,-0.102376587716331,-0.0406042209349873
"moi_0.25_quality_0.9_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-partial",5,-0.0380587588241483,0.0372567811632588,-0.0843191626835229,0.00820164503522639
"moi_0.25_quality_0.9_genes_400_replicates_6","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-partial",5,-0.0422804863687217,0.0255867003314877,-0.0740505710031583,-0.0105104017342851
"moi_0.4_quality_0.9_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-EB","BARCS-partial",5,-0.049908789469446,0.0318622916067815,-0.0894710498578565,-0.0103465290810355
"moi_0.1_quality_0.9_genes_400_replicates_4","f1_fdr_0_10","BARCS-partial","BARCS-original",5,-0.179933394111068,0.075417932409942,-0.273577125603458,-0.0862896626186783
"moi_0.25_quality_0.6_genes_400_replicates_4","f1_fdr_0_10","BARCS-partial","BARCS-original",5,-0.27289405870939,0.109526090245468,-0.408888661831204,-0.136899455587576
"moi_0.25_quality_0.75_genes_400_replicates_4","f1_fdr_0_10","BARCS-partial","BARCS-original",5,-0.342253262324719,0.144919772287305,-0.522194926201753,-0.162311598447685
"moi_0.25_quality_0.9_genes_100_replicates_4","f1_fdr_0_10","BARCS-partial","BARCS-original",5,-0.214659050858433,0.128820415503641,-0.374610723022955,-0.0547073786939119
"moi_0.25_quality_0.9_genes_1000_replicates_4","f1_fdr_0_10","BARCS-partial","BARCS-original",5,-0.210747999708809,0.0823905086303448,-0.313049328068804,-0.108446671348813
"moi_0.25_quality_0.9_genes_400_replicates_1","f1_fdr_0_10","BARCS-partial","BARCS-original",5,0.224325828215322,0.0496200695134709,0.162714374312077,0.285937282118567
"moi_0.25_quality_0.9_genes_400_replicates_3","f1_fdr_0_10","BARCS-partial","BARCS-original",5,-0.202540714184222,0.0661526161109019,-0.284680035996123,-0.120401392372321
"moi_0.25_quality_0.9_genes_400_replicates_4","f1_fdr_0_10","BARCS-partial","BARCS-original",5,-0.233800449881929,0.139852861059515,-0.407450712505322,-0.0601501872585355
"moi_0.25_quality_0.9_genes_400_replicates_6","f1_fdr_0_10","BARCS-partial","BARCS-original",5,-0.155131298372501,0.057715806743031,-0.226794937732609,-0.0834676590123933
"moi_0.4_quality_0.9_genes_400_replicates_4","f1_fdr_0_10","BARCS-partial","BARCS-original",5,-0.179155111820364,0.0853685637640554,-0.285154184024554,-0.0731560396161743
"moi_0.1_quality_0.9_genes_400_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-original",5,-0.0891975454140694,0.0709354256244958,-0.177275509609267,-0.00111958121887223
"moi_0.25_quality_0.6_genes_400_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-original",5,-0.234026632473171,0.14827536081195,-0.418134809814043,-0.0499184551322993
"moi_0.25_quality_0.75_genes_400_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-original",5,-0.218491242192849,0.0755213805318774,-0.312263421493928,-0.12471906289177
"moi_0.25_quality_0.9_genes_100_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-original",5,-0.103792227443207,0.133393830235509,-0.269422544029143,0.0618380891427303
"moi_0.25_quality_0.9_genes_1000_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-original",5,-0.114781353119905,0.0269356400348957,-0.148226367619811,-0.0813363386199994
"moi_0.25_quality_0.9_genes_400_replicates_1","f1_fdr_0_10","BARCS-EB","BARCS-original",5,0.201376722692512,0.135777278517816,0.0327869641828545,0.36996648120217
"moi_0.25_quality_0.9_genes_400_replicates_3","f1_fdr_0_10","BARCS-EB","BARCS-original",5,-0.154256875942407,0.0809586168085043,-0.254780275777901,-0.0537334761069127
"moi_0.25_quality_0.9_genes_400_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-original",5,-0.126006930523083,0.0947901485579875,-0.243704445371922,-0.00830941567424333
"moi_0.25_quality_0.9_genes_400_replicates_6","f1_fdr_0_10","BARCS-EB","BARCS-original",5,-0.0748912020110348,0.0570776881248043,-0.145762512456307,-0.00401989156576275
"moi_0.4_quality_0.9_genes_400_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-original",5,-0.11516045452354,0.083886645925528,-0.219319482699335,-0.0110014263477458
"moi_0.1_quality_0.9_genes_400_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-partial",5,0.0907358486969988,0.0354168754162019,0.046759989563833,0.134711707830165
"moi_0.25_quality_0.6_genes_400_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-partial",5,0.0388674262362186,0.0559034809248297,-0.0305459134024133,0.108280765874851
"moi_0.25_quality_0.75_genes_400_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-partial",5,0.12376202013187,0.0936893288535139,0.00743135347858868,0.240092686785151
"moi_0.25_quality_0.9_genes_100_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-partial",5,0.110866823415227,0.0774363990614617,0.0147168345500699,0.207016812280383
"moi_0.25_quality_0.9_genes_1000_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-partial",5,0.0959666465889032,0.0882692796076607,-0.0136341400473108,0.205567433225117
"moi_0.25_quality_0.9_genes_400_replicates_1","f1_fdr_0_10","BARCS-EB","BARCS-partial",5,-0.02294910552281,0.108044988140374,-0.157104677483065,0.111206466437445
"moi_0.25_quality_0.9_genes_400_replicates_3","f1_fdr_0_10","BARCS-EB","BARCS-partial",5,0.0482838382418156,0.0723522175777585,-0.0415533055146927,0.138120981998324
"moi_0.25_quality_0.9_genes_400_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-partial",5,0.107793519358846,0.0941508003008799,-0.00911013977682881,0.22469717849452
"moi_0.25_quality_0.9_genes_400_replicates_6","f1_fdr_0_10","BARCS-EB","BARCS-partial",5,0.0802400963614662,0.015385152043714,0.0611369069618954,0.099343285761037
"moi_0.4_quality_0.9_genes_400_replicates_4","f1_fdr_0_10","BARCS-EB","BARCS-partial",5,0.063994657296824,0.0765393191675923,-0.0310414597606026,0.159030774354251
"moi_0.1_quality_0.9_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-partial","BARCS-original",5,-0.0760869565217392,0.0513982192066822,-0.139906274882462,-0.0122676381610167
"moi_0.25_quality_0.6_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-partial","BARCS-original",5,-0.0413333333333334,0.0721726325478634,-0.130947492823605,0.0482808261569378
"moi_0.25_quality_0.75_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-partial","BARCS-original",5,-0.0679892037786774,0.0460863598911674,-0.125212977663802,-0.0107654298935529
"moi_0.25_quality_0.9_genes_100_replicates_4","negative_control_p_below_0_05","BARCS-partial","BARCS-original",5,-0.0571428571428572,0.127775312999988,-0.21579686315416,0.101511148868445
"moi_0.25_quality_0.9_genes_1000_replicates_4","negative_control_p_below_0_05","BARCS-partial","BARCS-original",5,-0.0201365807444835,0.0250214946059097,-0.0512048697778912,0.0109317082889242
"moi_0.25_quality_0.9_genes_400_replicates_1","negative_control_p_below_0_05","BARCS-partial","BARCS-original",5,0.018695652173913,0.0257037065284477,-0.0132197148428556,0.0506110191906817
"moi_0.25_quality_0.9_genes_400_replicates_3","negative_control_p_below_0_05","BARCS-partial","BARCS-original",5,-0.0311111111111111,0.0454062594260056,-0.0874904287334826,0.0252682065112604
"moi_0.25_quality_0.9_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-partial","BARCS-original",5,-0.0411111111111111,0.042236839574996,-0.0935550742092917,0.0113328519870694
"moi_0.25_quality_0.9_genes_400_replicates_6","negative_control_p_below_0_05","BARCS-partial","BARCS-original",5,-0.00869565217391304,0.0194440693695634,-0.0328386530886765,0.0154473487408504
"moi_0.4_quality_0.9_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-partial","BARCS-original",5,-0.0696135265700484,0.0452131072746594,-0.125753014119918,-0.0134740390201791
"moi_0.1_quality_0.9_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-original",5,-0.0760869565217392,0.0513982192066822,-0.139906274882462,-0.0122676381610167
"moi_0.25_quality_0.6_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-original",5,-0.0609761904761905,0.0631843710044584,-0.139429949201576,0.0174775682491953
"moi_0.25_quality_0.75_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-original",5,-0.0679892037786774,0.0460863598911674,-0.125212977663802,-0.0107654298935529
"moi_0.25_quality_0.9_genes_100_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-original",5,-0.0285714285714286,0.15649215928719,-0.222882108759502,0.165739251616645
"moi_0.25_quality_0.9_genes_1000_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-original",5,-0.0317571341041673,0.0179167254175165,-0.0540036870207998,-0.00951058118753473
"moi_0.25_quality_0.9_genes_400_replicates_1","negative_control_p_below_0_05","BARCS-EB","BARCS-original",5,0,0,0,0
"moi_0.25_quality_0.9_genes_400_replicates_3","negative_control_p_below_0_05","BARCS-EB","BARCS-original",5,-0.0422222222222222,0.0579484658240235,-0.114174745987053,0.029730301542609
"moi_0.25_quality_0.9_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-original",5,-0.0511111111111111,0.0612876238689849,-0.127209747204683,0.0249875249824612
"moi_0.25_quality_0.9_genes_400_replicates_6","negative_control_p_below_0_05","BARCS-EB","BARCS-original",5,-0.00869565217391304,0.0194440693695634,-0.0328386530886765,0.0154473487408504
"moi_0.4_quality_0.9_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-original",5,-0.0596135265700484,0.0422440911096578,-0.11206649363775,-0.00716055950234659
"moi_0.1_quality_0.9_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-partial",5,0,0,0,0
"moi_0.25_quality_0.6_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-partial",5,-0.0196428571428571,0.0285155703976273,-0.055049614293836,0.0157639000081217
"moi_0.25_quality_0.75_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-partial",5,0,0,0,0
"moi_0.25_quality_0.9_genes_100_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-partial",5,0.0285714285714286,0.063887656499994,-0.0507555744342227,0.10789843157708
"moi_0.25_quality_0.9_genes_1000_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-partial",5,-0.0116205533596838,0.0107070130630301,-0.0249150660083457,0.00167395928897808
"moi_0.25_quality_0.9_genes_400_replicates_1","negative_control_p_below_0_05","BARCS-EB","BARCS-partial",5,-0.018695652173913,0.0257037065284477,-0.0506110191906817,0.0132197148428556
"moi_0.25_quality_0.9_genes_400_replicates_3","negative_control_p_below_0_05","BARCS-EB","BARCS-partial",5,-0.0111111111111111,0.0248451997499977,-0.0419605011688644,0.0197382789466422
"moi_0.25_quality_0.9_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-partial",5,-0.01,0.0223606797749979,-0.0377644510519779,0.0177644510519779
"moi_0.25_quality_0.9_genes_400_replicates_6","negative_control_p_below_0_05","BARCS-EB","BARCS-partial",5,0,0,0,0
"moi_0.4_quality_0.9_genes_400_replicates_4","negative_control_p_below_0_05","BARCS-EB","BARCS-partial",5,0.01,0.0223606797749979,-0.0177644510519779,0.0377644510519779
