"analysis_protocol","method","screen_genes","discoveries_at_fdr_0_10","directionally_validated_recovered","validated_total","validation_panel_true_positive","validation_panel_false_positive","validation_panel_true_negative","validation_panel_false_negative","precision","recall","specificity","balanced_accuracy","f1","auroc","average_precision","direction_concordance_validated","median_validated_rank_percentile"
"barcs-three-methods-v1","BARCS-original",1350,49,22,26,22,3,4,4,0.88,0.846153846153846,0.571428571428571,0.708791208791209,0.862745098039216,0.807692307692308,0.944516440153953,1,0.0114814814814815
"barcs-three-methods-v1","BARCS-partial",1350,71,19,26,19,3,4,7,0.863636363636364,0.730769230769231,0.571428571428571,0.651098901098901,0.791666666666667,0.714285714285714,0.909751498050059,1,0.02
"barcs-three-methods-v1","BARCS-EB",1350,60,23,26,23,3,4,3,0.884615384615385,0.884615384615385,0.571428571428571,0.728021978021978,0.884615384615385,0.791208791208791,0.940361806022241,1,0.0125925925925926
