"method","auroc","average_precision","recall_at_5pct_null_fpr","null_p_lt_0_05","null_calibration_error","essential_fdr_0_10_recall"
"BARCS",0.942571201782892,0.837794858574523,0.8625,0.0643325688803846,0.0248244301684242,0.658333333333333
"DESeq2",0.94693662171962,0.873893115897374,0.879166666666667,0.130049253574141,0.0848794021940985,0.8
"edgeR-QL",0.948280634297812,0.874481029615401,0.879166666666667,0.116633839956742,0.0718178456184545,0.804166666666667
"limma-voom",0.949708539457499,0.876472589536712,0.879166666666667,0.11864447069898,0.0741823334024479,0.8125
"MAGeCK-MLE",0.95500554999994,0.877064660940077,0.8875,0.107057590072444,0.0570575900724439,0.8125
