"analysis_protocol","moi","design","method","nominal_fdr","runs","precision","recall","directional_recall","realized_fdp","realized_fdp_sd","f1","f1_sd","calls"
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.003,3,0.997192263930687,0.416311553718871,0.416311553718871,0.0028077360693128,0.00268683879603672,0.587297422315139,0.0127873244663941,812.666666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.01,3,0.993224260794774,0.525949374302898,0.525949374302898,0.0067757392052262,0.00184759554148457,0.687707160803297,0.00485586457305136,1030.66666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.03,3,0.981614659782118,0.620328591855257,0.620328591855257,0.018385340217882,0.00563649592290961,0.760211793559318,0.00362089095718344,1230
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.05,3,0.964912478796768,0.672719010939679,0.672719010939679,0.0350875212032321,0.00422308662706069,0.792730514829153,0.00243845202196218,1357
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.1,3,0.925561462010411,0.741722409164892,0.741722409164892,0.0744385379895888,0.00895326027951045,0.823459024072653,0.000721076870836407,1560
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.2,3,0.844422415872,0.807289418366736,0.807289418366736,0.155577584128,0.0119257965273378,0.82534588950786,0.00349634267868672,1861.33333333333
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",1e-06,3,0.999558498896247,0.401417454035337,0.401417454035337,0.000441501103752759,0.000764702343297518,0.572687546262823,0.0159275897405888,781.666666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",3e-06,3,0.999604586793199,0.438583741160777,0.438583741160777,0.000395413206801107,0.000684875764163257,0.609638140200657,0.00845098096807783,854
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",1e-05,3,0.999280826700181,0.480034231816452,0.480034231816452,0.000719173299818461,0.000622832131786027,0.648517987080698,0.0050170932241167,935
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",3e-05,3,0.998012513560728,0.519789375303326,0.519789375303326,0.00198748643927252,0.00199606255475486,0.68354855796531,0.00640581377596313,1013.66666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",1e-04,3,0.996963042304953,0.563780475568154,0.563780475568154,0.00303695769504688,0.0014103919111898,0.720245670801937,0.00554875543279184,1100.66666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",3e-04,3,0.994113760309552,0.608675711583173,0.608675711583173,0.00588623969044831,0.00439508386600936,0.755045639275108,0.00605674703687943,1191.66666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",0.001,3,0.9856298223769,0.657971167345007,0.657971167345007,0.0143701776230997,0.00424522195052637,0.789132278004804,0.00574654936922322,1299.33333333333
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",0.003,3,0.976019784686435,0.710217076205797,0.710217076205797,0.0239802153135651,0.00473257207374363,0.822163896841324,0.00166228270479132,1416.33333333333
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",0.01,3,0.945034377107673,0.762264111594533,0.762264111594533,0.0549656228923273,0.0032304361849306,0.843851163060564,0.00306384898235199,1570
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",0.03,3,0.888353361649228,0.811940744042947,0.811769803872007,0.111646638350772,0.00815244596409426,0.848418331514733,0.00454236553914364,1779
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",0.05,3,0.846741079539419,0.835412237544116,0.835241297373175,0.153258920460581,0.00739870267634363,0.841031145292533,0.00428994907472085,1920.33333333333
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",0.1,3,0.763704038555869,0.871206144664357,0.870521404983143,0.236295961444131,0.00904687037502312,0.813893801525173,0.00445895312230525,2220.66666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","DESeq2",0.2,3,0.645686135680928,0.909031650805904,0.907488748921279,0.354313864319072,0.00962591885614528,0.754994719008794,0.00432481942839971,2741
