"analysis_protocol","moi","design","scope","method","metric","runs","mean","sd","se"
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","MAGeCK-MLE","f1",3,0.718144366711949,0.0242785886265354,0.0140172496790744
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","MAGeCK-MLE","negative_control_gene_p_below_0_05",0,NA,NA,NA
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","DESeq2","auroc",3,0.953181505977944,0.00254500550403379,0.00146935961284299
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","DESeq2","average_precision",3,0.916870349790688,0.00520074208278193,0.00300264984147996
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","DESeq2","effect_spearman_active",3,0.92259418254432,0.00271416560533052,0.0015670242428628
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","DESeq2","calls",3,2224,45.4312667664022,26.229754097208
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","DESeq2","directional_recall",3,0.868595368417032,0.0116548440696213,0.00672892736095895
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","DESeq2","realized_fdp",3,0.23875011603111,0.000672781197263458,0.000388430405345776
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","DESeq2","f1",3,0.81188181816363,0.00480740588679221,0.00277555708284327
"crispulator-moi-10k-v1",0.2,"low-bulk-high","main","DESeq2","negative_control_gene_p_below_0_05",3,0.134876017140931,0.0150040052155508,0.00866256645012082
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-original","auroc",3,0.941199208243618,0.00434197676935367,0.00250684145660144
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-original","average_precision",3,0.886992889207544,0.00775342884900511,0.00447644423311571
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-original","effect_spearman_active",3,0.923238124325804,0.00362076440788942,0.00209044930556717
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-original","calls",3,1248.66666666667,34.5012077083301,19.9192815577716
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-original","directional_recall",3,0.614951623718409,0.0130852295973587,0.00755476083044311
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-original","realized_fdp",3,0.0413692272768386,0.000647793923883593,0.000374003996333597
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-original","f1",3,0.749204132924926,0.00956392497466456,0.00552173465863197
"crispulator-moi-10k-v1",0.2,"low-high","main","BARCS-original","negative_control_gene_p_below_0_05",3,0.0404312517052659,0.0140175892922697,0.00809305895128153
