"analysis_protocol","scope","method","metric","runs","mean","sd","se","minimum","maximum"
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","empirical_fdp_fdr_0_10",45,0.249842312284151,0.0649570309240403,0.00968322245084734,0.128440366972477,0.444444444444444
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","f1_fdr_0_10",45,0.787491181414212,0.0714457309267714,0.0106505007369613,0.534351145038168,0.900473933649289
"barcs-external-headtohead-v1","multi-replicate settings","edgeR-QL","negative_control_p_below_0_05",45,0.127719077247086,0.0875577828316545,0.0130523436247162,0,0.428571428571429
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","auroc",45,0.939850502064911,0.037538898703634,0.0055959686201203,0.794161941885188,0.983907396950875
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","average_precision",45,0.897402379363198,0.0673888263198453,0.0100457331050067,0.630911300705559,0.967354825998202
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","directional_recall_fdr_0_10",45,0.837057334280586,0.0978993215980484,0.0145939692029566,0.544117647058823,0.962025316455696
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","empirical_fdp_fdr_0_10",45,0.242810886861679,0.0689642116094855,0.0102805776782326,0.130841121495327,0.430769230769231
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","f1_fdr_0_10",45,0.792616262951084,0.0704313018468536,0.0104992785782247,0.556390977443609,0.889952153110048
"barcs-external-headtohead-v1","multi-replicate settings","DESeq2","negative_control_p_below_0_05",45,0.121553218245223,0.101070708549705,0.0150667316567473,0,0.428571428571429
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","auroc",45,0.94067538218896,0.0366964999826107,0.00547039123316249,0.808026222537208,0.982495765104461
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","average_precision",45,0.896667408441292,0.0678996542708644,0.0101218828398924,0.635077518164725,0.966572454251131
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","directional_recall_fdr_0_10",45,0.827656402623222,0.111994919708011,0.0166952169067829,0.485294117647059,0.966666666666667
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","empirical_fdp_fdr_0_10",45,0.229454884285258,0.0651961098385759,0.00971886223117324,0.113207547169811,0.410714285714286
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","f1_fdr_0_10",45,0.79430683578203,0.0730640269258674,0.0108917420610743,0.532258064516129,0.903846153846154
"barcs-external-headtohead-v1","multi-replicate settings","limma-voom","negative_control_p_below_0_05",45,0.118925214610661,0.078021467312001,0.0116307536409275,0,0.3
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-original","auroc",5,0.790054673294548,0.0399450039933114,0.017863948858109,0.724832214765101,0.829607843137255
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-original","average_precision",5,0.632863584977172,0.0315737411740503,0.0141202063138321,0.606585499789511,0.68328591288894
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-original","directional_recall_fdr_0_10",5,0,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-original","empirical_fdp_fdr_0_10",5,0,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-original","f1_fdr_0_10",5,0,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-original","negative_control_p_below_0_05",5,0.0111111111111111,0.0248451997499977,0.0111111111111111,0,0.0555555555555556
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","auroc",5,0.747817491438415,0.0320805200777927,0.0143468447294983,0.707593104355836,0.795299499191608
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","average_precision",5,0.517077513249102,0.058017481578236,0.0259462065384555,0.414991272588888,0.556443033744676
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","directional_recall_fdr_0_10",5,0.00725490196078432,0.00998845931525493,0.00446697480388021,0,0.0196078431372549
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","empirical_fdp_fdr_0_10",5,0,0,0,0,0
