"scenario_id","method","design","moi","high_quality_guide_fraction","genes","replicates","is_baseline","metric","n","mean","sd","se"
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-partial","Low + bulk + high",0.25,0.75,400,4,FALSE,"auroc",5,0.858777828548196,0.0244361049155674,0.0109281583393051
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-partial","Two 25% tails",0.25,0.75,400,4,FALSE,"auroc",5,0.843764491366975,0.0270710007533336,0.0121065195806804
"moi_0.25_quality_0.75_genes_400_replicates_4","BARCS-partial","Unsorted 0-100%",0.25,0.75,400,4,FALSE,"auroc",5,0.518668775751323,0.0316433405841064,0.014151332116248
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-EB","Low + bulk + high",0.25,0.9,100,4,FALSE,"auroc",5,0.930627020532851,0.0198536891288032,0.00887883969923052
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-EB","Two 25% tails",0.25,0.9,100,4,FALSE,"auroc",5,0.926953490956399,0.0248418580204932,0.0111096166442442
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-EB","Unsorted 0-100%",0.25,0.9,100,4,FALSE,"auroc",5,0.483935617202094,0.0598091464905532,0.026747463445824
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-NORM","Low + bulk + high",0.25,0.9,100,4,FALSE,"auroc",5,0.892981581875216,0.0340832255304375,0.0152424818357029
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-NORM","Two 25% tails",0.25,0.9,100,4,FALSE,"auroc",5,0.893600286065821,0.0347690219827127,0.015549179332906
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-NORM","Unsorted 0-100%",0.25,0.9,100,4,FALSE,"auroc",5,0.515757906496225,0.083954695643277,0.0375456812977346
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-original","Low + bulk + high",0.25,0.9,100,4,FALSE,"auroc",5,0.9343942287956,0.01930069731557,0.00863153424215244
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-original","Two 25% tails",0.25,0.9,100,4,FALSE,"auroc",5,0.931277300621155,0.0246986131015538,0.0110455555690082
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-original","Unsorted 0-100%",0.25,0.9,100,4,FALSE,"auroc",5,0.49955554076973,0.0653254716755497,0.0292144390657532
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-partial","Low + bulk + high",0.25,0.9,100,4,FALSE,"auroc",5,0.915301066115478,0.0312493875315053,0.0139751509551361
"moi_0.25_quality_0.9_genes_100_replicates_4","BARCS-partial","Two 25% tails",0.25,0.9,100,4,FALSE,"auroc",5,0.91209306033103,0.0344339490767231,0.0153993301738638
