"analysis_protocol","moi","design","method","matched_fdp","runs","f1","f1_sd"
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",0.05,3,0.841548810766197,0.000579934499637529
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",0.1,3,0.848272940319637,0.00301226076804579
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.001,3,0.514344361649889,0.0817142039639043
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.002,3,0.549272756192793,0.0843989891233826
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.005,3,0.634245480591443,0.0635401929264561
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.01,3,0.711672921929141,0.0128135105795698
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.02,3,0.759262402106191,0.0168673741127737
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.05,3,0.804836608459907,0.00362143845237563
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-original",0.1,3,0.824187295900564,0.000774437814860852
"crispulator-moi-10k-v1",0.3,"low-bulk-high","CRISPhieRmix",0.001,3,0.471140388253379,0.0960060271862471
"crispulator-moi-10k-v1",0.3,"low-bulk-high","CRISPhieRmix",0.002,3,0.510844708445338,0.111675179845079
"crispulator-moi-10k-v1",0.3,"low-bulk-high","CRISPhieRmix",0.005,3,0.564151844734255,0.105871744174976
"crispulator-moi-10k-v1",0.3,"low-bulk-high","CRISPhieRmix",0.01,3,0.613117405846164,0.0702714488584875
"crispulator-moi-10k-v1",0.3,"low-bulk-high","CRISPhieRmix",0.02,3,0.685456148775826,0.0237692947099234
"crispulator-moi-10k-v1",0.3,"low-bulk-high","CRISPhieRmix",0.05,3,0.747691587396969,0.0219615913511679
"crispulator-moi-10k-v1",0.3,"low-bulk-high","CRISPhieRmix",0.1,3,0.789075737880147,0.00609726337480183
"crispulator-moi-10k-v1",0.3,"low-bulk-high","MAGeCK-MLE",0.001,3,0.58652012997352,0.109236801762987
"crispulator-moi-10k-v1",0.3,"low-bulk-high","MAGeCK-MLE",0.002,3,0.610150329310425,0.111288926706004
"crispulator-moi-10k-v1",0.3,"low-bulk-high","MAGeCK-MLE",0.005,3,0.71331076187965,0.0448824507585495
"crispulator-moi-10k-v1",0.3,"low-bulk-high","MAGeCK-MLE",0.01,2,0.735469485046703,0.0194503579829358
"crispulator-moi-10k-v1",0.3,"low-bulk-high","MAGeCK-MLE",0.02,1,0.769937739697383,NA
"crispulator-moi-10k-v1",0.3,"low-bulk-high","MAGeCK-MLE",0.05,0,NA,NA
"crispulator-moi-10k-v1",0.3,"low-bulk-high","MAGeCK-MLE",0.1,0,NA,NA
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-moderated",0.001,3,0.668320489477589,0.0828871945214726
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-moderated",0.002,3,0.670368095908149,0.093043292949102
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-moderated",0.005,3,0.747092292289245,0.0381839446143843
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-moderated",0.01,3,0.777124514271747,0.0192843674786471
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-moderated",0.02,3,0.8110823093262,0.0126919375542751
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-moderated",0.05,3,0.844651453267123,0.00119679378567936
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-moderated",0.1,3,0.850019002405723,0.00364179098574048
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-original",0.001,3,0.335530131950033,0.133729695601832
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-original",0.002,3,0.3956841009442,0.150839824647924
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-original",0.005,3,0.521749435060605,0.0196510149030151
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-original",0.01,3,0.609635621824761,0.00901247677319288
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-original",0.02,3,0.697971850233178,0.0140939484415063
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-original",0.05,3,0.769143343394696,0.00317416170932132
"crispulator-moi-10k-v1",0.3,"low-high","BARCS-original",0.1,0,NA,NA
