"analysis_protocol","method","auroc","average_precision","calls","directional_recall","realized_fdp","f1","inactive_gene_p_below_0_05"
"crispulator-improved-barcs-v1","BARCS-original",0.961394376749872,0.922502304975492,59,0.69620253164557,0.0677966101694915,0.797101449275362,0.0404984423676012
"crispulator-improved-barcs-v1","BARCS-improved",0.96470681020545,0.926949992087027,80,0.848101265822785,0.1625,0.842767295597484,0.0747663551401869
"crispulator-improved-barcs-v1","BARCS-moderation-only",0.964588509010608,0.926609137359644,85,0.860759493670886,0.2,0.829268292682927,0.0934579439252336
"crispulator-improved-barcs-v1","BARCS-qq-slope-only",0.961394376749872,0.922531195936838,60,0.69620253164557,0.0833333333333333,0.79136690647482,0.0467289719626168
"crispulator-improved-barcs-v1","BARCS-moderation-one-way",0.963050593477661,0.92713756590814,64,0.759493670886076,0.0625,0.839160839160839,0.0623052959501558
"crispulator-improved-barcs-v1","edgeR-QL",0.96226191884538,0.928762668997317,93,0.89873417721519,0.236559139784946,0.825581395348837,0.0965732087227414
"crispulator-improved-barcs-v1","limma-voom",0.96450964154738,0.928393518983475,92,0.89873417721519,0.228260869565217,0.830409356725146,0.0965732087227414
"crispulator-improved-barcs-v1","DESeq2",0.961709846602784,0.92668702684446,95,0.911392405063291,0.242105263157895,0.827586206896552,0.121495327102804
