"scenario_id","seed","moi","high_quality_guide_fraction","genes","replicates","is_baseline","average_precision_barcs","directional_recall_fdr_0_10_barcs","f1_fdr_0_10_barcs","average_precision_mageck","directional_recall_fdr_0_10_mageck","f1_fdr_0_10_mageck","average_precision_difference","directional_recall_fdr_0_10_difference","f1_fdr_0_10_difference"
"moi_0.1_quality_0.9_genes_400_replicates_4",20250724,0.1,0.9,400,4,FALSE,0.943836876319426,0.886075949367089,0.89171974522293,0.938100927118226,0.69620253164557,0.808823529411765,0.00573594920120002,0.189873417721519,0.0828962158111649
"moi_0.1_quality_0.9_genes_400_replicates_4",20250725,0.1,0.9,400,4,FALSE,0.927872782252865,0.883333333333333,0.861788617886179,0.936376025340521,0.75,0.857142857142857,-0.00850324308765604,0.133333333333333,0.00464576074332201
"moi_0.1_quality_0.9_genes_400_replicates_4",20250726,0.1,0.9,400,4,FALSE,0.941580266448198,0.858695652173913,0.854054054054054,0.964352114350115,0.815217391304348,0.87719298245614,-0.022771847901917,0.043478260869565,-0.023138928402086
"moi_0.1_quality_0.9_genes_400_replicates_4",20250727,0.1,0.9,400,4,FALSE,0.946620627956213,0.823529411764706,0.893617021276596,0.940126780852824,0.745098039215686,0.839779005524862,0.00649384710338907,0.07843137254902,0.0538380157517341
"moi_0.1_quality_0.9_genes_400_replicates_4",20250728,0.1,0.9,400,4,FALSE,0.949432207416025,0.877777777777778,0.897727272727273,0.950096860545815,0.788888888888889,0.855421686746988,-0.000664653129790027,0.088888888888889,0.042305585980285
"moi_0.25_quality_0.6_genes_400_replicates_4",20250724,0.25,0.6,400,4,FALSE,0.732969404673195,0.28125,0.439024390243902,0.742551030149997,0.375,0.533333333333333,-0.00958162547680197,-0.09375,-0.094308943089431
"moi_0.25_quality_0.6_genes_400_replicates_4",20250725,0.25,0.6,400,4,FALSE,0.578220221108021,0.338235294117647,0.464646464646465,0.629048948038456,0.294117647058824,0.43010752688172,-0.050828726930435,0.044117647058823,0.034538937764745
"moi_0.25_quality_0.6_genes_400_replicates_4",20250726,0.25,0.6,400,4,FALSE,0.675736957472817,0.307692307692308,0.461538461538462,0.699320769757424,0.230769230769231,0.363636363636364,-0.0235838122846069,0.076923076923077,0.097902097902098
"moi_0.25_quality_0.6_genes_400_replicates_4",20250727,0.25,0.6,400,4,FALSE,0.742677324052892,0.230769230769231,0.375,0.712016363327475,0.333333333333333,0.495238095238095,0.030660960725417,-0.102564102564102,-0.120238095238095
"moi_0.25_quality_0.6_genes_400_replicates_4",20250728,0.25,0.6,400,4,FALSE,0.78194205852034,0.494736842105263,0.639455782312925,0.801648287472616,0.410526315789474,0.582089552238806,-0.0197062289522759,0.084210526315789,0.057366230074119
"moi_0.25_quality_0.75_genes_400_replicates_4",20250724,0.25,0.75,400,4,FALSE,0.827386751554231,0.695121951219512,0.77027027027027,0.83031777595527,0.524390243902439,0.671875,-0.00293102440103898,0.170731707317073,0.09839527027027
"moi_0.25_quality_0.75_genes_400_replicates_4",20250725,0.25,0.75,400,4,FALSE,0.808443997766111,0.567901234567901,0.691729323308271,0.809393961559728,0.530864197530864,0.666666666666667,-0.000949963793617004,0.037037037037037,0.025062656641604
"moi_0.25_quality_0.75_genes_400_replicates_4",20250726,0.25,0.75,400,4,FALSE,0.820159916697404,0.623376623376623,0.732824427480916,0.808893544713625,0.454545454545455,0.614035087719298,0.011266371983779,0.168831168831168,0.118789339761618
"moi_0.25_quality_0.75_genes_400_replicates_4",20250727,0.25,0.75,400,4,FALSE,0.882723942778306,0.586666666666667,0.727272727272727,0.870647247883429,0.506666666666667,0.666666666666667,0.0120766948948771,0.08,0.06060606060606
"moi_0.25_quality_0.75_genes_400_replicates_4",20250728,0.25,0.75,400,4,FALSE,0.872659747545294,0.688172043010753,0.780487804878049,0.868335175981618,0.548387096774194,0.703448275862069,0.00432457156367594,0.139784946236559,0.07703952901598
"moi_0.25_quality_0.9_genes_100_replicates_4",20250724,0.25,0.9,100,4,FALSE,0.905982905982906,0.8125,0.838709677419355,0.90693108974359,0.75,0.8,-0.000948183760684063,0.0625,0.0387096774193549
"moi_0.25_quality_0.9_genes_100_replicates_4",20250725,0.25,0.9,100,4,FALSE,0.868124123426253,0.823529411764706,0.756756756756757,0.803222570081205,0.647058823529412,0.6875,0.064901553345048,0.176470588235294,0.069256756756757
"moi_0.25_quality_0.9_genes_100_replicates_4",20250726,0.25,0.9,100,4,FALSE,0.851530644184055,0.631578947368421,0.727272727272727,0.783338463508742,0.631578947368421,0.705882352941177,0.068192180675313,0,0.02139037433155
"moi_0.25_quality_0.9_genes_100_replicates_4",20250727,0.25,0.9,100,4,FALSE,0.875156535428746,0.733333333333333,0.8,0.899994189652426,0.7,0.777777777777778,-0.0248376542236799,0.033333333333333,0.022222222222222
"moi_0.25_quality_0.9_genes_100_replicates_4",20250728,0.25,0.9,100,4,FALSE,0.903896975956741,0.826086956521739,0.808510638297872,0.902377424316315,0.695652173913043,0.82051282051282,0.00151955164042605,0.130434782608696,-0.0120021822149481
