"term","comparison","spearman","top200_depleted_jaccard"
"GSC0131_end","beta-binomial vs MAGeCK-MLE",0.928177012941515,0.550387596899225
"GSC0827_end","beta-binomial vs MAGeCK-MLE",0.888369785397885,0.532567049808429
"NSCCB660_end","beta-binomial vs MAGeCK-MLE",0.905164206497683,0.544401544401544
"NSCU5_end","beta-binomial vs MAGeCK-MLE",0.915460475633409,0.5625
