"method","n_non_targeting_guides","fraction_p_below_0_05","fraction_p_below_0_10","median_p_value","genomic_inflation_lambda"
"BARCS all bins + control calibration",593,0.0489038785834739,0.107925801011804,0.539829821148528,0.826170956350094
"BARCS all bins",593,0.133220910623946,0.204047217537943,0.410036627650409,1.49184474030199
"BARCS outer bins",593,0.0640809443507589,0.12141652613828,0.474784832178611,1.12283448819942
