sample,gate,donor,mouse,total
W1M1_lo,0,D1,W1M1,3495593
W1M1_hi,1,D1,W1M1,4004407
W1M2_lo,0,D1,W1M2,3744281
W1M2_hi,1,D1,W1M2,4183503
W2M1_lo,0,D2,W2M1,3584315
W2M1_hi,1,D2,W2M1,3777198
W2M2_lo,0,D2,W2M2,3324052
W2M2_hi,1,D2,W2M2,3785657
