gene,guide,estimate,std_error,t_value,df,p_value,fdr,rho,mean_cpm,converged,control,dispersion_boundary,raw_std_error,raw_t_value,raw_p_value,raw_fdr
IFNG,IFNG_1,-1.6844119327815583,0.36521916950726063,-4.612057836542646,12,0.0005983376096378809,0.03599057648572453,0.0007699007452585969,2730.6281391805246,true,false,false,0.36521916950726063,-4.612057836542646,0.0005983376096378809,0.03599057648572453
IFNG,IFNG_6,-1.0476004095467264,0.21095449265425154,-4.966001891525078,12,0.00032745670254389784,0.03599057648572453,0.0003799265582127003,2780.7460554898535,true,false,false,0.21095449265425154,-4.966001891525078,0.00032745670254389784,0.03599057648572453
IFNG,IFNG_2,-0.9494023848750884,0.21677729675498217,-4.379620924732601,12,0.000896900127628401,0.03599057648572453,0.00041249023661164705,2732.8673599186955,true,false,false,0.21677729675498217,-4.379620924732601,0.000896900127628401,0.03599057648572453
IFNG,IFNG_4,-0.6888634637478672,0.20934195735642466,-3.2906134653886485,12,0.0064519780397106485,0.1722678136602743,0.0005453251033356431,3505.7173241532487,true,false,false,0.20934195735642466,-3.2906134653886485,0.0064519780397106485,0.1722678136602743
TNF,TNF_2,-0.40329317727153097,0.09269483626475505,-4.350762065317692,12,0.0009435731662924036,0.03599057648572453,0.0001222477289218233,3727.283519697896,true,false,false,0.09269483626475505,-4.350762065317692,0.0009435731662924036,0.03599057648572453
TNF,TNF_1,-0.3405480319363332,0.07399881346520075,-4.602074222399281,12,0.0006087451302692536,0.03599057648572453,0.00008885385497212859,4209.134615878199,true,false,false,0.07399881346520075,-4.602074222399281,0.0006087451302692536,0.03599057648572453
DGKZ,DGKZ_4,-0.04133900570489914,0.12203950897434926,-0.33873461186727594,12,0.7406631496548206,0.9877709947103684,0.00033625610399283783,5685.695280877178,true,false,false,0.12203950897434926,-0.33873461186727594,0.7406631496548206,0.9877709947103684
IFNG,IFNG_5,-0.535079268545352,0.17181737672818825,-3.114232557466158,12,0.008950192622959765,0.21495070642962955,0.00027163493715657037,2477.2644570606694,true,false,false,0.17181737672818825,-3.114232557466158,0.008950192622959765,0.21495070642962955
TNF,TNF_4,-0.14221099099999537,0.1179429647895983,-1.2057606933460547,12,0.25114686374939377,0.9259808167205715,0.00024827998341492215,4511.648737397223,true,false,false,0.1179429647895983,-1.2057606933460547,0.25114686374939377,0.9259808167205715
TNF,TNF_5,-0.27206607031404384,0.08853102219306912,-3.0731156556706205,12,0.009660705906949642,0.21495070642962955,0.00010607385938242254,3470.0082045035806,true,false,false,0.08853102219306912,-3.0731156556706205,0.009660705906949642,0.21495070642962955
IFNG,IFNG_3,-0.17026977653891093,0.10680768951381496,-1.5941715181179676,12,0.13688186091509014,0.6850672852685631,0.00016541538070799798,3673.0577438449895,true,false,false,0.10680768951381496,-1.5941715181179676,0.13688186091509014,0.6850672852685631
DGKZ,DGKZ_5,-0.09870085982200567,0.10613987415169218,-0.9299131039193161,12,0.37074558757144116,0.9429272448750424,0.0001829027185486887,4093.9714414105724,true,false,false,0.10613987415169218,-0.9299131039193161,0.37074558757144116,0.9429272448750424
P2RY8,P2RY8_6,-0.1355168781594253,0.06686278007047557,-2.0267909592838658,12,0.06549747222660084,0.43719562711256055,0.00007632480855256107,4327.623319510174,true,false,false,0.06686278007047557,-2.0267909592838658,0.06549747222660084,0.43719562711256055
NTCTRL,NTCTRL_3,-0.045754202969152495,0.11644041267078971,-0.39294092076530757,12,0.7012541907688685,0.9877709947103684,0.00024430162651985785,4534.489989936808,true,true,false,0.11644041267078971,-0.39294092076530757,0.7012541907688685,0.9877709947103684
NTCTRL,NTCTRL_18,-0.1093458010816241,0.10559032713592262,-1.0355664580986401,12,0.32082300614327175,0.9413158531895995,0.0001774416444510031,4015.122126568173,true,true,false,0.10559032713592262,-1.0355664580986401,0.32082300614327175,0.9413158531895995
P2RY8,P2RY8_2,-0.06383742670945883,0.07042331608003115,-0.9064814079034859,12,0.3825225484449605,0.9429272448750424,0.00010905092997292074,5552.95796889153,true,false,false,0.07042331608003115,-0.9064814079034859,0.3825225484449605,0.9429272448750424
DGKZ,DGKZ_6,-0.03586325759502942,0.09649928743793328,-0.3716427193112287,12,0.7166380750419901,0.9877709947103684,0.00017298480464715053,4677.6145678091225,true,false,false,0.09649928743793328,-0.3716427193112287,0.7166380750419901,0.9877709947103684
P2RY8,P2RY8_5,-0.07811267821622606,0.07538620746683508,-1.0361667053033599,12,0.3205541824962118,0.9413158531895995,0.00009042901528347079,4016.6665286070906,true,false,false,0.07538620746683508,-1.0361667053033599,0.3205541824962118,0.9413158531895995
NTCTRL,NTCTRL_10,0.0051283205036030234,0.08621799393463611,0.05948086089187976,12,0.953548198694826,0.9877709947103684,0.00013374516474102288,4531.7011910589645,true,true,false,0.08621799393463611,0.05948086089187976,0.953548198694826,0.9877709947103684
P2RY8,P2RY8_4,-0.1537427718116571,0.06850591757607111,-2.244226152301899,12,0.04445736042156868,0.39136886338014926,0.00007129791783218236,3855.651302771944,true,false,false,0.06850591757607111,-2.244226152301899,0.04445736042156868,0.39136886338014926
NTCTRL,NTCTRL_28,-0.01731205340073778,0.11139458560792902,-0.1554119826045254,12,0.8790801349507664,0.9877709947103684,0.00018854721648853848,3821.637815608785,true,true,false,0.11139458560792902,-0.1554119826045254,0.8790801349507664,0.9877709947103684
NTCTRL,NTCTRL_50,0.03038748182440464,0.11996619567941465,0.2533003705944717,12,0.8043235627811427,0.9877709947103684,0.0002038219828977583,3561.143848963171,true,true,false,0.11996619567941465,0.2533003705944717,0.8043235627811427,0.9877709947103684
NTCTRL,NTCTRL_45,-0.06349010642147492,0.07931357598849084,-0.8004948160537855,12,0.43898544059538336,0.9567152520494624,0.00009753189564835965,3910.5518726779364,true,true,false,0.07931357598849084,-0.8004948160537855,0.43898544059538336,0.9567152520494624
NTCTRL,NTCTRL_2,-0.04958956797805298,0.1151937640635367,-0.4304883027409468,12,0.6744708959836703,0.9877709947103684,0.00018869719307030764,3577.204162097784,true,true,false,0.1151937640635367,-0.4304883027409468,0.6744708959836703,0.9877709947103684
NTCTRL,NTCTRL_8,-0.049575267742696334,0.09163712873559626,-0.5409954286732133,12,0.5984102016885338,0.9877709947103684,0.00013803313980429905,4140.64833860187,true,true,false,0.09163712873559626,-0.5409954286732133,0.5984102016885338,0.9877709947103684
TNF,TNF_6,-0.1807231136918205,0.1077857086215709,-1.6766890156683798,12,0.11943854609563519,0.625295917794796,0.00013248957257844005,2890.674862861952,true,false,false,0.1077857086215709,-1.6766890156683798,0.11943854609563519,0.625295917794796
NTCTRL,NTCTRL_17,-0.07054524256743434,0.09208560774316697,-0.766083259874766,12,0.45843179854819216,0.9637896867115535,0.00010812988484522207,3213.323166265658,true,true,false,0.09208560774316697,-0.766083259874766,0.45843179854819216,0.9637896867115535
NTCTRL,NTCTRL_23,-0.07000143042148795,0.07231328606841028,-0.9680300015029706,12,0.3521355726689124,0.9429272448750424,0.00008532529784798873,4119.233044436157,true,true,false,0.07231328606841028,-0.9680300015029706,0.3521355726689124,0.9429272448750424
LRIG3,LRIG3_2,-0.10609129980317637,0.0887822821703912,-1.1949602692073813,12,0.2551856029887646,0.9259808167205715,0.00011008697441243955,3525.824563166066,true,false,false,0.0887822821703912,-1.1949602692073813,0.2551856029887646,0.9259808167205715
P2RY8,P2RY8_1,-0.08775520739976786,0.09471885280507038,-0.9264808937283735,12,0.3724546116365297,0.9429272448750424,0.00017313616627028476,4868.820550376762,true,false,false,0.09471885280507038,-0.9264808937283735,0.3724546116365297,0.9429272448750424
TNF,TNF_3,-0.1659648757075173,0.08507147588785956,-1.9508874622827832,12,0.07481195951232823,0.475590314042658,0.00010060081227090687,3524.306072150654,true,false,false,0.08507147588785956,-1.9508874622827832,0.07481195951232823,0.475590314042658
FBXO45,FBXO45_4,-0.04730061581677067,0.06511969028847707,-0.7263642625944816,12,0.4815441725464916,0.965498233155955,0.00006774908376063702,4034.97675217938,true,false,false,0.06511969028847707,-0.7263642625944816,0.4815441725464916,0.965498233155955
NTCTRL,NTCTRL_43,-0.09893225874928814,0.10417451647610913,-0.9496781179874905,12,0.3610109396716298,0.9429272448750424,0.00014977388729469967,3479.7404556851116,true,true,false,0.10417451647610913,-0.9496781179874905,0.3610109396716298,0.9429272448750424
NTCTRL,NTCTRL_13,-0.04156668788620091,0.08438988991796945,-0.4925553040370771,12,0.631215444321749,0.9877709947103684,0.00010625616412040168,3759.2526273158724,true,true,false,0.08438988991796945,-0.4925553040370771,0.631215444321749,0.9877709947103684
VAV1,VAV1_4,-0.025631281838815703,0.06615211317758198,-0.38745975914646646,12,0.705200425336596,0.9877709947103684,0.00007356590489552294,4243.540860355886,true,false,false,0.06615211317758198,-0.38745975914646646,0.705200425336596,0.9877709947103684
NTCTRL,NTCTRL_21,-0.09635512932590154,0.08965251755552513,-1.074762114362547,12,0.3036168914146604,0.9364541692363522,0.00011553609039064599,3626.76481958194,true,true,false,0.08965251755552513,-1.074762114362547,0.3036168914146604,0.9364541692363522
FBXO45,FBXO45_5,0.00034060039065064013,0.1083057416527568,0.003144804563941329,12,0.9975424886525037,0.9998524024864707,0.00016445187891770834,3525.419123453468,true,false,false,0.1083057416527568,0.003144804563941329,0.9975424886525037,0.9998524024864707
NTCTRL,NTCTRL_22,-0.05014234169413342,0.07015443125886281,-0.7147423305181281,12,0.488440391308971,0.965498233155955,0.00006855307000646469,3516.020369010383,true,true,false,0.07015443125886281,-0.7147423305181281,0.488440391308971,0.965498233155955
NTCTRL,NTCTRL_51,0.0194163079570044,0.09650165433516703,0.2012018145260825,12,0.8439108887238774,0.9877709947103684,0.000127329853309721,3440.598625929817,true,true,false,0.09650165433516703,0.2012018145260825,0.8439108887238774,0.9877709947103684
NTCTRL,NTCTRL_46,0.022517912293123728,0.08786431477278911,0.2562805201560321,12,0.8020749733144172,0.9877709947103684,0.00010010009110416662,3264.8551230642934,true,true,false,0.08786431477278911,0.2562805201560321,0.8020749733144172,0.9877709947103684
ADRB2,ADRB2_2,-0.010553611521203139,0.1087459598198426,-0.09704830909292732,12,0.9242900847837553,0.9877709947103684,0.00017639555686892896,3752.1318958708275,true,false,false,0.1087459598198426,-0.09704830909292732,0.9242900847837553,0.9877709947103684
NTCTRL,NTCTRL_1,-0.035388280290805416,0.10905718939167373,-0.3244928691836178,12,0.7511515941012534,0.9877709947103684,0.00016509399088295465,3491.728251502472,true,true,false,0.10905718939167373,-0.3244928691836178,0.7511515941012534,0.9877709947103684
ALDH3B1,ALDH3B1_1,-0.09274330791261624,0.09165718970214211,-1.0118497873871508,12,0.33157788625847673,0.9428767167566835,0.00010206628723021023,3064.4300910612064,true,false,false,0.09165718970214211,-1.0118497873871508,0.33157788625847673,0.9428767167566835
GPR65,GPR65_6,-0.009637112348621711,0.11376007018649628,-0.08471436711337112,12,0.9338854011291894,0.9877709947103684,0.00016812297191405354,3265.9513696560734,true,false,false,0.11376007018649628,-0.08471436711337112,0.9338854011291894,0.9877709947103684
STAT1,STAT1_6,-0.013394454432734631,0.11037136641956977,-0.12135805569187628,12,0.905415920955136,0.9877709947103684,0.00016448757665394175,3395.288681902183,true,false,false,0.11037136641956977,-0.12135805569187628,0.905415920955136,0.9877709947103684
NTCTRL,NTCTRL_5,-0.060301704744100376,0.06668024280645153,-0.9043414091807415,12,0.38361090896148964,0.9429272448750424,0.00006435524758478643,3656.458423498561,true,true,false,0.06668024280645153,-0.9043414091807415,0.38361090896148964,0.9429272448750424
NTCTRL,NTCTRL_36,-0.07803125792099251,0.07113925321633972,-1.0968804758702442,12,0.2942175155353751,0.9347337755436348,0.00007162748379556287,3575.5826989303264,true,true,false,0.07113925321633972,-1.0968804758702442,0.2942175155353751,0.9347337755436348
NTCTRL,NTCTRL_49,-0.0199109447803882,0.10710665819921208,-0.18589829162025587,12,0.8556298966845688,0.9877709947103684,0.0001479871596330099,3244.366328341079,true,true,false,0.10710665819921208,-0.18589829162025587,0.8556298966845688,0.9877709947103684
