"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"TRIM28",6,-0.767514150765949,1.97522782249772e-09,1.5612529913659e-06,0.833333333333333,1.6840302347606,1.4966805594784,1.15149604827717e-08,-1.0538,5.5102e-09,2.615e-07,7.7e-05,FALSE,24,59
"OTUD7A",6,0.812852787316162,3.3045740960298e-09,2.50751082406741e-06,1,1.6840302347606,1.4966805594784,2.11346756937234e-08,1.1467,1.9984e-09,2.615e-07,0.000127,TRUE,25,53
"SPN",6,-0.763435285961419,5.26890890221545e-07,0.000195982748774563,0.833333333333333,1.6840302347606,1.4966805594784,6.1200758276916e-06,-1.4049,2.6923e-12,2.615e-07,7.7e-05,FALSE,51,25
"LYN",6,-0.789112436616471,5.14419021315623e-09,3.75328032090668e-06,1,1.6840302347606,1.4966805594784,3.54796865234048e-08,-1.1669,2.8514e-11,2.615e-07,7.7e-05,FALSE,26,32
"RNF19B",6,-0.864130577626547,1.40714688061411e-08,9.20468149146538e-06,1,1.6840302347606,1.4966805594784,1.1291047488277e-07,-1.3504,3.1228e-12,2.615e-07,7.7e-05,FALSE,29,26
"BTLA",6,-0.96401625857639,6.71033926348258e-09,4.71463466030609e-06,1,1.6840302347606,1.4966805594784,4.77441034165477e-08,-1.522,5.1147e-11,2.615e-07,7.7e-05,FALSE,27,33
"FOXL2NB",6,-1.0372813455176,1.22826019353222e-06,0.000416073140559038,1,1.6840302347606,1.4966805594784,1.61463045906344e-05,-2.1458,3.6764e-12,2.615e-07,7.7e-05,FALSE,56,27
"WT1",6,0.781211065752455,1.17563810076104e-08,7.96494813265606e-06,1,1.6840302347606,1.4966805594784,9.32625311775939e-08,1.3348,3.7579e-10,2.615e-07,0.000127,TRUE,28,45
"CD2",6,0.831707503724444,1.00568619480425e-07,5.15618030146937e-05,0.833333333333333,1.6840302347606,1.4966805594784,1.05122188007655e-06,1.4413,6.4748e-12,2.615e-07,0.000127,TRUE,37,29
"FOXL2",6,-0.753268215685483,4.61680152552314e-06,0.00119973595807088,0.833333333333333,1.6840302347606,1.4966805594784,6.53417938708621e-05,-1.7314,1.314e-11,2.615e-07,7.7e-05,FALSE,73,30
"PIK3AP1",6,0.742325491456329,2.27871678991428e-08,1.44090858348913e-05,1,1.6840302347606,1.4966805594784,2.00220569050896e-07,1.0489,2.7342e-10,2.615e-07,0.000127,TRUE,30,42
"HELZ2",6,0.903252797215261,1.10865250611815e-05,0.00253387205313993,1,1.6840302347606,1.4966805594784,0.000172562365068179,1.4307,1.9342e-11,2.615e-07,0.000127,TRUE,83,31
"INPPL1",6,-1.0520282652244,2.86777649331744e-08,1.75489419607199e-05,1,1.6840302347606,1.4966805594784,2.58782759442926e-07,-1.4667,7.1792e-11,2.615e-07,7.7e-05,FALSE,31,35
"SELPLG",6,-0.717300888759792,2.96629521100281e-08,1.7584568797726e-05,1,1.6840302347606,1.4966805594784,2.61581615082525e-07,-0.96273,5.29e-11,2.615e-07,7.7e-05,FALSE,32,34
"TRADD",6,0.639446615328271,3.07245850054754e-08,1.7661981137996e-05,1,1.6840302347606,1.4966805594784,2.65131612026206e-07,0.62347,4.5108e-06,2.0136e-05,0.00421,TRUE,33,164
"CD52",6,-0.7764246605151,1.7038114052441e-07,7.69556155920385e-05,1,1.6840302347606,1.4966805594784,1.79730133024471e-06,-1.2701,1.458e-10,2.615e-07,7.7e-05,FALSE,41,37
"BICDL2",6,0.644384097494973,1.11390227909809e-07,5.56071743012917e-05,0.833333333333333,1.6840302347606,1.4966805594784,1.16397040168344e-06,1.258,4.1505e-10,2.615e-07,0.000127,TRUE,38,48
"FOXA3",6,-0.776808843710829,1.25820039358935e-07,5.96701536659749e-05,1,1.6840302347606,1.4966805594784,1.28886255353866e-06,-1.1023,1.6043e-10,2.615e-07,7.7e-05,FALSE,40,38
"TAGAP",6,0.80122735110425,1.21875119020858e-07,5.92813078929662e-05,1,1.6840302347606,1.4966805594784,1.26999183413637e-06,1.1451,3.5516e-10,2.615e-07,0.000127,TRUE,39,43
"FOSL1",6,0.706971943798229,2.09678517382076e-07,8.83911438830662e-05,1,1.6840302347606,1.4966805594784,2.17772880388973e-06,1.3607,2.0338e-10,2.615e-07,0.000127,TRUE,45,41
"OTUD7B",6,0.800226645851343,1.70381436735141e-07,7.69556155920385e-05,1,1.6840302347606,1.4966805594784,1.79730133024471e-06,1.2377,6.3314e-09,2.615e-07,0.000127,TRUE,42,60
"PTPRC",6,-0.825205140389637,1.79825521333135e-07,7.93323288299902e-05,1,1.6840302347606,1.4966805594784,1.87873770028521e-06,-1.3107,3.5754e-10,2.615e-07,7.7e-05,FALSE,43,44
"DEPDC7",6,0.74063101567513,1.84574142139627e-07,7.95766244633799e-05,1,1.6840302347606,1.4966805594784,1.89721765117178e-06,1.1528,1.4913e-09,2.615e-07,0.000127,TRUE,44,52
"APOBEC3C",6,0.785126314597679,2.26414942751283e-07,9.337155356504e-05,1,1.6840302347606,1.4966805594784,2.34637324720956e-06,1.0531,7.3744e-08,7.8451e-07,0.000345,TRUE,46,87
"MUC21",6,-0.698232565476353,1.60512293280744e-05,0.00342125640846709,0.833333333333333,1.6840302347606,1.4966805594784,0.000256008860981419,-1.6387,3.8672e-10,2.615e-07,7.7e-05,FALSE,89,46
"CD5",6,-0.921241528774357,8.33702279954103e-07,0.000288513361598868,1,1.6840302347606,1.4966805594784,1.01452913837463e-05,-1.3377,4.1491e-10,2.615e-07,7.7e-05,FALSE,54,47
"GATA6",6,-0.920709142721646,1.72006901573057e-06,0.000543828487140149,1,1.6840302347606,1.4966805594784,2.30068047978629e-05,-1.4892,5.1275e-10,2.615e-07,7.7e-05,FALSE,60,49
"ZNF717",6,0.675326265907956,3.64184663865775e-07,0.000140991491296607,0.666666666666667,1.6840302347606,1.4966805594784,4.00399780066248e-06,0.211,8.1218e-06,2.2751e-05,0.00421,TRUE,49,195
"EMP3",6,0.601739482498423,3.74797122624811e-07,0.000142198028323853,1,1.6840302347606,1.4966805594784,4.06820572005697e-06,0.89425,4.7584e-08,2.615e-07,0.000127,TRUE,50,81
"LAX1",6,-0.880188288766005,1.26909392931723e-05,0.00279938509757534,1,1.6840302347606,1.4966805594784,0.000197320296474503,-1.4425,6.4362e-10,2.615e-07,7.7e-05,FALSE,86,50
"TNFRSF9",6,0.642420913415307,5.48809286151003e-07,0.000200209849197779,1,1.6840302347606,1.4966805594784,6.31790459807372e-06,0.94659,1.2427e-09,2.615e-07,0.000127,TRUE,52,51
"LCK",6,-0.968775048839029,6.81787886575761e-07,0.000244028607704569,1,1.6840302347606,1.4966805594784,8.14207854513305e-06,-1.2637,1.0843e-08,2.615e-07,7.7e-05,FALSE,53,66
"GRB2",6,-0.866170989081275,8.36491032574473e-07,0.000288513361598868,1,1.6840302347606,1.4966805594784,1.01452913837463e-05,-1.4594,2.3412e-09,2.615e-07,7.7e-05,FALSE,55,54
"FOXD2",6,0.657011932579807,2.00854924815363e-05,0.00401075570920782,1,1.6840302347606,1.4966805594784,0.000317726096201572,1.1216,3.5344e-09,2.615e-07,0.000127,TRUE,95,55
"SLC16A1",6,0.867789276176673,7.9171452432912e-06,0.0019438143057886,1,1.6840302347606,1.4966805594784,0.000121785700155918,1.2747,3.8252e-09,2.615e-07,0.000127,TRUE,77,56
"LAPTM5",6,-0.7820105148887,3.098734962699e-06,0.000864455915329413,1,1.6840302347606,1.4966805594784,4.25190106395784e-05,-1.1473,4.8173e-09,2.615e-07,7.7e-05,FALSE,68,57
"RAC2",6,0.631710942540988,1.41558936012168e-06,0.000471118073008916,1,1.6840302347606,1.4966805594784,1.89600641772259e-05,0.88549,3.9194e-07,2.8765e-06,0.000923,TRUE,57,113
"APOL2",6,0.933170199065896,3.39687556839883e-06,0.00090758773989473,1,1.6840302347606,1.4966805594784,4.57017001125015e-05,1.3132,5.2767e-09,2.615e-07,0.000127,TRUE,71,58
"CEBPB",6,-0.904289197562806,1.61148315265207e-06,0.000527066127686376,1,1.6840302347606,1.4966805594784,2.19281796080886e-05,-1.4347,6.9601e-08,2.615e-07,7.7e-05,FALSE,58,84
"CD27",6,0.718570493298979,1.65013243402815e-06,0.000530559530059558,1,1.6840302347606,1.4966805594784,2.22079912883426e-05,1.1089,4.5198e-08,2.615e-07,0.000127,TRUE,59,80
"PLCG2",6,0.639418007640826,1.75248232414576e-06,0.000544993273590904,0.833333333333333,1.6840302347606,1.4966805594784,2.31666284792363e-05,1.0981,1.03e-08,2.615e-07,0.000127,TRUE,61,65
"TRIM21",6,0.755464139802032,1.22207655847318e-05,0.00272738733108662,0.666666666666667,1.6840302347606,1.4966805594784,0.000190406406524297,1.2925,6.5165e-09,2.615e-07,0.000127,TRUE,85,61
