"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"ARHGAP15",6,0.552700425730163,9.27682841840764e-15,6.40348034750663e-12,0.666666666666667,1.15494334255549,0.978166727433865,3.94936954762763e-17,0.88051,3.5505e-12,2.6138e-07,4.9e-05,TRUE,27,39
"CPSF4",6,0.575683192805761,5.55781049596267e-13,2.93792038161582e-10,0.833333333333333,1.15494334255549,0.978166727433865,8.79892490093242e-15,1.1192,1.1961e-13,2.6138e-07,4.9e-05,TRUE,36,27
"UBASH3A",6,0.499611214288674,9.42183130479168e-15,6.40348034750663e-12,1,1.15494334255549,0.978166727433865,3.94936954762763e-17,0.54802,2.4199e-08,2.6138e-07,4.9e-05,TRUE,28,97
"HGS",6,0.47363684167828,9.96435288103689e-09,2.2845980159775e-06,1,1.15494334255549,0.978166727433865,2.98602786481952e-09,1.1195,5.5015e-13,2.6138e-07,4.9e-05,TRUE,83,30
"TYMS",6,0.576975026112026,1.58946108833609e-13,9.75724016485027e-11,1,1.15494334255549,0.978166727433865,1.79964036661674e-15,0.98006,6.9693e-13,2.6138e-07,4.9e-05,TRUE,31,31
"TSC1",6,0.494354612858213,2.54838169936723e-10,7.69773075221562e-08,1,1.15494334255549,0.978166727433865,2.45831190074706e-11,0.80714,7.0404e-13,2.6138e-07,4.9e-05,TRUE,63,32
"VPS35",6,-0.538838017986154,1.69333305816895e-13,1.00700400302985e-10,1,1.15494334255549,0.978166727433865,1.90344453184687e-15,-0.65428,1.6911e-11,2.6138e-07,0.00015,FALSE,32,43
"SNRPC",6,0.669077211293708,1.34469773345255e-11,5.22236691175552e-09,1,1.15494334255549,0.978166727433865,5.3618619261048e-13,1.2634,8.8537e-13,2.6138e-07,4.9e-05,TRUE,49,33
"VPS29",6,-0.624068236046494,2.42386591384592e-13,1.39776267698448e-10,1,1.15494334255549,0.978166727433865,3.035828047562e-15,-0.78917,4.8741e-12,2.6138e-07,0.00015,FALSE,33,40
"LAT",6,-0.684938515454406,2.99279214466219e-13,1.6750833680271e-10,1,1.15494334255549,0.978166727433865,3.94768239996599e-15,-0.90335,1.9386e-12,2.6138e-07,0.00015,FALSE,34,35
"TRIM21",6,-0.55908702471609,5.25316558751265e-13,2.85622117515331e-10,1,1.15494334255549,0.978166727433865,8.3695856470502e-15,-0.7911,5.973e-11,2.6138e-07,0.00015,FALSE,35,51
"PNISR",6,0.58953578190583,4.1502578124879e-12,1.92632697979621e-09,1,1.15494334255549,0.978166727433865,1.25574360171285e-13,0.9019,1.9689e-12,2.6138e-07,4.9e-05,TRUE,41,36
"MEMO1",6,0.505566918795604,7.13186060225582e-13,3.6680893854305e-10,1,1.15494334255549,0.978166727433865,1.2098988020801e-14,0.72983,7.1772e-12,2.6138e-07,4.9e-05,TRUE,37,41
"RPL19",6,0.688718407087776,3.44425439199366e-11,1.1917120196298e-08,0.833333333333333,1.15494334255549,0.978166727433865,1.75922015919199e-12,1.2183,2.3633e-12,2.6138e-07,4.9e-05,TRUE,55,37
"PLCG1",6,-0.585733083753261,6.32224635653929e-10,1.85095920253758e-07,0.833333333333333,1.15494334255549,0.978166727433865,8.38686166311095e-11,-1.0542,3.0491e-12,2.6138e-07,0.00015,FALSE,65,38
"PPAN",6,0.567744318487146,1.37894903514939e-12,6.90563161549813e-10,1,1.15494334255549,0.978166727433865,2.93978830429691e-14,0.89945,3.7408e-11,2.6138e-07,4.9e-05,TRUE,38,48
"NUDC",6,0.527833878292739,1.94221476049209e-12,9.47701202363191e-10,1,1.15494334255549,0.978166727433865,4.60600424235941e-14,0.75739,4.9441e-10,2.6138e-07,4.9e-05,TRUE,39,66
"RCL1",6,0.496951339359957,2.8251011574778e-12,1.34404187567006e-09,1,1.15494334255549,0.978166727433865,7.55094233517994e-14,0.63885,1.4543e-10,2.6138e-07,4.9e-05,TRUE,40,57
"DHODH",6,0.419225526078996,4.32593426093317e-08,8.66552936690087e-06,1,1.15494334255549,0.978166727433865,1.98753469272863e-08,0.58114,1.023e-11,2.6138e-07,4.9e-05,TRUE,95,42
"PPP1R8",6,0.450580756006733,5.12917861507109e-12,2.32400640582864e-09,1,1.15494334255549,0.978166727433865,1.64421920573519e-13,0.61502,6.625e-10,2.6138e-07,4.9e-05,TRUE,42,68
"TAF13",6,-0.604227712362275,5.77128619911105e-12,2.55412968300194e-09,1,1.15494334255549,0.978166727433865,1.89131342280605e-13,-0.87969,2.7893e-11,2.6138e-07,0.00015,FALSE,43,45
"NRF1",6,0.56117748554694,2.8730304448399e-09,7.48955744730183e-07,1,1.15494334255549,0.978166727433865,6.07356789024734e-10,1.0653,1.8405e-11,2.6138e-07,4.9e-05,TRUE,73,44
"WAS",6,-0.679478134930501,6.12950665804469e-12,2.65101162960433e-09,1,1.15494334255549,0.978166727433865,2.00927558650631e-13,-0.9965,8.5902e-11,2.6138e-07,0.00015,FALSE,44,55
"NFKB2",6,0.497603731046364,8.52274169909011e-12,3.60417276741522e-09,1,1.15494334255549,0.978166727433865,3.10277248329212e-13,0.61744,3.0956e-09,2.6138e-07,4.9e-05,TRUE,45,81
"CTPS1",6,0.48909231866244,2.03041963499709e-09,5.5198408077135e-07,1,1.15494334255549,0.978166727433865,3.91735456821174e-10,0.75374,3.0617e-11,2.6138e-07,4.9e-05,TRUE,70,46
"MAK16",6,0.642030886120591,9.76116827433775e-12,4.00085770454737e-09,1,1.15494334255549,0.978166727433865,3.64681106929439e-13,1.165,5.4998e-11,2.6138e-07,4.9e-05,TRUE,46,50
"ACTL6A",6,0.520125416162449,9.88125654827779e-12,4.00085770454737e-09,1,1.15494334255549,0.978166727433865,3.64681106929439e-13,0.83187,2.4918e-10,2.6138e-07,4.9e-05,TRUE,47,60
