"screen","genes","spearman_effect","sign_agreement","barcs_null_scale","barcs_control_scale","barcs_hits","mageck_hits","mageck_hits_fdr_only","barcs_control_scale_hits","shared_hits","spearman_top1000"
"CRISPRa_IL2",18805,0.847823669048454,0.835469290082425,1.59586015040928,1.51911868264771,157,477,792,203,143,0.906789139294664
"CRISPRa_IFNG",18805,0.849736515948354,0.829247540547727,1.6840302347606,1.4966805594784,178,562,908,369,164,0.912335629119333
"CRISPRi_IL2",18865,0.846362594894882,0.823429631592897,1.15494334255549,0.978166727433865,402,238,521,704,216,0.928985136741744
"CRISPRi_IFNG",18865,0.837627016130004,0.818923933209648,1.18619420283432,1.11639482762256,329,211,413,395,190,0.936731915946176
