"screen","top_n","background_rate","barcs_tcr","mageck_tcr","barcs_fold","mageck_fold"
"CRISPRa_IL2",100,0.00574315341664451,9,10,15.6708333333333,17.412037037037
"CRISPRa_IL2",250,0.00574315341664451,14,14,9.75074074074074,9.75074074074074
"CRISPRa_IL2",500,0.00574315341664451,20,19,6.96481481481481,6.61657407407407
"CRISPRa_IFNG",100,0.00574315341664451,12,12,20.8944444444444,20.8944444444444
"CRISPRa_IFNG",250,0.00574315341664451,12,14,8.35777777777778,9.75074074074074
"CRISPRa_IFNG",500,0.00574315341664451,17,16,5.92009259259259,5.57185185185185
"CRISPRi_IL2",100,0.00572488735754042,14,14,24.4546296296296,24.4546296296296
"CRISPRi_IL2",250,0.00572488735754042,15,17,10.4805555555556,11.877962962963
"CRISPRi_IL2",500,0.00572488735754042,18,20,6.28833333333333,6.98703703703704
"CRISPRi_IFNG",100,0.00572488735754042,21,22,36.6819444444444,38.4287037037037
"CRISPRi_IFNG",250,0.00572488735754042,27,26,18.865,18.1662962962963
"CRISPRi_IFNG",500,0.00572488735754042,34,31,11.877962962963,10.8299074074074
