"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"ZAP70",6,0.696737465607182,4.77770121745095e-09,3.77637467062686e-06,1,1.59586015040928,1.51911868264771,6.05201659680991e-07,0.9092,9.4741e-10,2.615e-07,9.9e-05,TRUE,24,38
"PSTPIP1",6,-0.746759688381477,5.69099502472418e-08,3.3736929880943e-05,0.833333333333333,1.59586015040928,1.51911868264771,6.93937397566054e-06,-1.2707,1.2356e-11,2.615e-07,6.7e-05,FALSE,32,25
"PTPN6",6,-0.724766203034907,6.83614242621294e-09,5.18726487301038e-06,1,1.59586015040928,1.51911868264771,8.61909771431646e-07,-1.2206,3.4532e-11,2.615e-07,6.7e-05,FALSE,25,27
"EOMES",6,-0.776541757364326,9.03376223815583e-09,6.591171909916e-06,1,1.59586015040928,1.51911868264771,1.12640524122306e-06,-1.198,4.0698e-10,2.615e-07,6.7e-05,FALSE,26,36
"TAF15",6,0.727366246215523,1.40682770127829e-08,9.88426721972194e-06,1,1.59586015040928,1.51911868264771,1.76631113375691e-06,0.76378,1.7962e-07,2.615e-07,9.9e-05,TRUE,27,88
"RRAS2",6,0.592600384492155,2.84925080288152e-06,0.000982732504193864,1,1.59586015040928,1.51911868264771,0.000299111051609365,0.80349,4.8511e-11,2.615e-07,9.9e-05,TRUE,55,29
"FOXQ1",6,0.721457968963381,7.32186293264393e-07,0.000283460693535215,1,1.59586015040928,1.51911868264771,7.53308379579748e-05,1.3359,6.1762e-11,2.615e-07,9.9e-05,TRUE,49,30
"JMJD1C",6,-0.92000965141542,1.07877987109675e-07,5.24729593710395e-05,1,1.59586015040928,1.51911868264771,1.15095490266553e-05,-1.2123,1.4955e-10,2.615e-07,6.7e-05,FALSE,39,31
"CREB5",6,0.763862765168593,5.9648896207611e-08,3.42890776078297e-05,1,1.59586015040928,1.51911868264771,7.08635429100105e-06,0.95769,9.6795e-08,2.615e-07,9.9e-05,TRUE,33,77
"CD4",6,-0.550394673726263,6.26308081694446e-08,3.49443067933636e-05,1,1.59586015040928,1.51911868264771,7.25726842017455e-06,-0.83112,2.6939e-08,2.615e-07,6.7e-05,FALSE,34,63
"LYN",6,-0.751018444981951,6.68268839131379e-07,0.000264105414131714,1,1.59586015040928,1.51911868264771,6.95487303697804e-05,-1.0341,2.5603e-10,2.615e-07,6.7e-05,FALSE,48,34
"ABCB10",6,0.79031535582824,6.54638695340687e-08,3.54814172874652e-05,0.833333333333333,1.59586015040928,1.51911868264771,7.40165816598397e-06,0.81736,2.9074e-09,2.615e-07,9.9e-05,TRUE,35,49
"FOXO4",6,0.870156310069018,0.000124311465080246,0.0205059868919328,1,1.59586015040928,1.51911868264771,0.00906958739452474,1.5607,2.7883e-10,2.615e-07,9.9e-05,TRUE,115,35
"ARHGAP27",6,-0.627361785030102,6.81422924195185e-08,3.59072024221741e-05,1,1.59586015040928,1.51911868264771,7.52073043340722e-06,-0.81878,4.8064e-08,2.615e-07,6.7e-05,FALSE,36,68
"GCSAM",6,-0.864580281761963,2.89868477505441e-07,0.000127879186471586,0.833333333333333,1.59586015040928,1.51911868264771,3.09734026400739e-05,-1.1738,4.3129e-10,2.615e-07,6.7e-05,FALSE,43,37
"NLRC3",6,0.784163305376186,7.44282332176934e-08,3.81595563280985e-05,1,1.59586015040928,1.51911868264771,8.06367410941421e-06,1.0856,6.7771e-08,2.615e-07,9.9e-05,TRUE,37,71
"CNR2",6,0.658777001268318,9.93290335325279e-08,4.9586099108212e-05,1,1.59586015040928,1.51911868264771,1.07865266589015e-05,0.82176,1.246e-08,2.615e-07,9.9e-05,TRUE,38,59
"GCSAML",6,-0.805961353975773,7.88595524642238e-06,0.00233744642225989,0.833333333333333,1.59586015040928,1.51911868264771,0.000787282601014502,-1.3216,1.0852e-09,2.615e-07,6.7e-05,FALSE,64,39
"LAT",6,0.700327404321264,1.30029589647338e-07,6.16665328902498e-05,1,1.59586015040928,1.51911868264771,1.3782119264053e-05,0.90402,1.2374e-08,2.615e-07,9.9e-05,TRUE,40,58
"RIPK3",6,1.02726477952274,0.00132554763944652,0.113268642884237,1,1.59586015040928,1.51911868264771,0.0630815634880235,1.5,1.109e-09,2.615e-07,9.9e-05,TRUE,222,40
"ANXA2R",6,0.382767537573754,0.049411763468266,0.672760448443111,0.833333333333333,1.59586015040928,1.51911868264771,0.528932216502747,1.301,1.3799e-09,2.615e-07,9.9e-05,TRUE,1386,41
"THEMIS",6,0.636395250339534,1.4583229192708e-07,6.74741116550416e-05,0.666666666666667,1.59586015040928,1.51911868264771,1.52546936377904e-05,0.399,2.4693e-07,2.615e-07,9.9e-05,TRUE,41,90
"GPR84",6,0.551843221154833,6.30265016533741e-07,0.000258369815150946,1,1.59586015040928,1.51911868264771,6.77462110509439e-05,0.71537,1.7471e-09,2.615e-07,9.9e-05,TRUE,46,42
"FPR2",6,0.49678673957549,1.80628968475521e-05,0.00468158248284698,0.666666666666667,1.59586015040928,1.51911868264771,0.00171378482164092,1.0857,2.0049e-09,2.615e-07,9.9e-05,TRUE,73,43
"LIME1",6,-0.889241470270033,3.12283292630942e-07,0.000134636683209295,1,1.59586015040928,1.51911868264771,3.28544514436605e-05,-1.3412,2.0084e-09,2.615e-07,6.7e-05,FALSE,44,44
"APOBEC3C",6,0.721204906813356,4.30818045799926e-07,0.000181613740640546,0.833333333333333,1.59586015040928,1.51911868264771,4.57697148653329e-05,0.90423,1.3161e-07,2.615e-07,9.9e-05,TRUE,45,82
"DEPDC7",6,0.630352637384157,4.10982354820169e-06,0.00134419573636872,0.833333333333333,1.59586015040928,1.51911868264771,0.000424331868401316,1.0436,2.4061e-09,2.615e-07,9.9e-05,TRUE,58,45
"MUC1",6,-0.644824079752782,1.03786119193871e-05,0.00293854131508616,1,1.59586015040928,1.51911868264771,0.00101710240827541,-0.90679,2.4793e-09,2.615e-07,6.7e-05,FALSE,67,46
"PIP5K1A",6,-0.546869976516204,0.00064087037631783,0.0643243970304192,0.833333333333333,1.59586015040928,1.51911868264771,0.033390846648163,-0.96142,2.5458e-09,2.615e-07,6.7e-05,FALSE,189,47
"SYPL1",6,-0.550256525918529,6.40136073383999e-07,0.000258369815150946,0.833333333333333,1.59586015040928,1.51911868264771,6.77462110509439e-05,-0.93149,3.7446e-08,2.615e-07,6.7e-05,FALSE,47,65
"CD52",6,-0.777752215746225,1.18957420984262e-06,0.000446256237719264,1,1.59586015040928,1.51911868264771,0.000124595099024626,-1.152,2.6133e-09,2.615e-07,6.7e-05,FALSE,50,48
"PIP5K1B",6,-0.678172571202682,4.32736003412553e-06,0.00139135626859934,1,1.59586015040928,1.51911868264771,0.000441480123256827,-1.0701,3.4797e-09,2.615e-07,6.7e-05,FALSE,59,50
"P2RY14",6,0.624093660674832,1.82946399883446e-06,0.000642683926997958,0.833333333333333,1.59586015040928,1.51911868264771,0.000187157790312029,1.0258,3.529e-09,2.615e-07,9.9e-05,TRUE,54,51
"SWAP70",6,0.62531762142169,1.19974001706286e-06,0.000446256237719264,0.833333333333333,1.59586015040928,1.51911868264771,0.000124595099024626,0.88027,2.565e-08,2.615e-07,9.9e-05,TRUE,51,62
"CDKN2C",6,0.938294554398215,0.000128509577239625,0.0208361254720999,1,1.59586015040928,1.51911868264771,0.00924569154507205,1.2608,3.9798e-09,2.615e-07,9.9e-05,TRUE,117,52
"CST5",6,-0.606073476246504,1.57249326899807e-06,0.000573657640632566,1,1.59586015040928,1.51911868264771,0.000164551866243178,-1.1026,6.586e-09,2.615e-07,6.7e-05,FALSE,52,55
"SPRED1",6,-0.593546847650877,5.6959676673245e-06,0.00177135256801878,1,1.59586015040928,1.51911868264771,0.000577631987938724,-0.97681,4.2355e-09,2.615e-07,6.7e-05,FALSE,61,53
"ZEB2",6,-0.794158272133673,1.74899855292141e-06,0.000626009482055078,1,1.59586015040928,1.51911868264771,0.000181485571314201,-1.3111,4.3573e-08,2.615e-07,6.7e-05,FALSE,53,67
